DDC	RELA
MYD88	CXCL1
MYD88	CXCL2
NFKB1	CXCL2
NFKB1	NFKBIA
RELA	CXCL2
RELA	NFKBIA
TP53	CD82
ETS1	CCND1
HIF1A	TGFB3
NFKB1	CCND1
NFKB2	CCND1
RELA	CCND1
PPARA	PLTP
PPARA	SCP2
PPARD	ILK
PPARD	UBC
RXRA	ILK
RXRA	PLTP
RXRA	SCP2
RXRA	UBC
RXRB	ILK
RXRB	PLTP
RXRB	SCP2
RXRB	UBC
RXRG	ILK
RXRG	PLTP
RXRG	SCP2
RXRG	UBC
LEF1	MMP7
LEF1	FOSL1
TCF7	MMP7
TCF7	FOSL1
TCF7L2	MMP7
TCF7L2	FOSL1
TCF7L1	MMP7
TCF7L1	FOSL1
CEBPA	TWF2
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
HIF1A	HSP90B1
ATF2	CCND1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
SP2	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF2	CEACAM6
TP53	CHEK1
CEBPB	F8
NFKB1	F8
ETS1	FOSL1
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
USF2	HMOX1
NFIC	HRAS
SP1	HRAS
E2F4	HSP90B1
SP1	HSPA8
ESR1	HSPB1
SP1	HSPB1
NFKB1	IER3
CEBPA	IVL
JUN	IVL
JUND	IVL
TFAP2A	KRT14
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
PPARA	LIPA
PPARD	LIPA
PPARG	LIPA
JUN	MAT2A
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2A
SP2	MAT2A
RARA	MIF
RARB	MIF
RARG	MIF
JUN	MMP7
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
PPARA	NFKBIA
MYC	NME1
TP53	NME1
ATF1	NTS
CREB1	NTS
FOS	NTS
JUN	NTS
JUND	NTS
TP53	PLK1
FLI1	POLR2G
ATF1	PPP2R4
ETS1	PPP2R4
NFKB1	PPP2R4
SP1	RPL15
NFIC	STMN1
ESR1	TFF1
JUN	TFF1
ATF1	TH
CREB1	TH
CREM	TH
HOXA5	TH
TFAP2A	TH
E2F4	TOP1
CEBPB	TOP1
POU2F1	TXNRD1
