PCCB	LYPLA1
STAT3	MAPK1
HMGCL	DNAJA1
DNAJA1	IQGAP1
IQGAP1	MAPK3
HMGCL	LSM12
LSM12	GLC7
GLC7	PDX1
PDX1	MAPK14
HMGCL	ARL6IP1
ARL6IP1	SNX11
SNX11	PML
RNF126	EGFR
EGFR	MAPK8IP2
RNF126	CDKN1A
CDKN1A	MAPK8
EGFR	MAPK9
CDKN1A	TP53
TP53	MAPK10
CDKN1A	HDAC6
HDAC6	MYD88
CDKN1A	JUN
LSM12	THP2
THP2	TOP1
TOP1	IRF8
ARL6IP1	DIABLO
DIABLO	BIRC3
BIRC3	IRF1
HES1	RUNX2
RUNX2	FOS
ARL6IP1	INPP5K
INPP5K	NCOR2
NCOR2	IRF5
INPP5K	TANK
TANK	IRF7
DNAJA1	HSPA8
HSPA8	POU2F1
EGFR	STAT1
NCOR2	PPARG
NCOR2	RXRA
LSM12	HSP82
HSP82	NR3C1
NR3C1	RXRB
NCOR2	RXRG
ARL6IP1	FBXW7
FBXW7	CDK2
CDK2	SMAD2
HES1	SIRT1
SIRT1	CREB1
ARL6IP1	SENP2
SENP2	DAXX
DAXX	ETS1
ARL6IP1	GORASP2
GORASP2	NONO
NONO	SPI1
STAT3	SP1
RNF126	SKP2
SKP2	FOXO3
FBXW7	MYC
MYC	TFAP2A
ARL6IP1	GOLPH3
GOLPH3	PFDN5
PFDN5	EGR1
HMGCL	TOMM40
TOMM40	PARK2
PARK2	MEOX2
RUNX2	SMAD3
SKP2	SMAD4
LSM12	PBP1
PBP1	FHL1
FHL1	STAT4
STAT3	HIF1A
HES1	HSP90AA1
HSP90AA1	IRF3
DNAJA1	PRKCSH
PRKCSH	VDR
NR3C1	POU2F2
HSP90AA1	PPARA
PC	KPNA4
KPNA4	CUL4B
CUL4B	NFKB1
KPNA4	TP53
TP53	RELA
TP53	MAPK1
TP53	MAPK3
TP53	MAPK14
KPNA4	DAXX
DAXX	PML
KPNA4	APP
TP53	MAPK9
PC	RPS3A
RPS3A	DDIT3
DDIT3	JUN
RELA	IRF8
PC	CAD
CAD	SMARCA4
PC	MDH2
MDH2	UBE2L3
UBE2L3	FOS
DAXX	CREBBP
CREBBP	IRF5
TP53	IRF7
PC	COPB1
COPB1	XRCC6
XRCC6	POU2F1
PC	FASN
FASN	AHSA1
AHSA1	STAT1
XRCC6	PPARG
GSK3B	RXRA
TP53	NR4A1
NR4A1	RXRG
TP53	SMAD2
DAXX	CREB1
COPB1	ARF1
ARF1	SPI1
TP53	SP1
APP	MYC
MYC	FOXO3
TP53	TFAP2A
PC	PFAS
PFAS	CAPN1
CAPN1	STAT3
TP53	EGR1
TP53	SMAD3
SMAD3	MEOX2
DAXX	SMAD4
TP53	TRIM28
TP53	HIF1A
COPB1	TANK
TANK	IRF3
TP53	VDR
RPS3A	HSP90AA1
PCCA	PCCB
ACACA	BRCA1
BRCA1	EP300
EP300	NFKB1
BRCA1	RELA
BRCA1	MAPK1
BRCA1	MAPK3
EP300	MAPK14
EP300	HDAC3
HDAC3	MAPK11
BRCA1	VCP
BRCA1	CTNNB1
CTNNB1	MAPK8
CTNNB1	MAPK9
BRCA1	TP53
ACACA	PSMD2
PSMD2	MDM2
MDM2	MYD88
BRCA1	JUN
EP300	IRF1
EP300	FOS
BRCA1	SMAD3
BRCA1	POU2F1
BRCA1	STAT1
EP300	PPARG
EP300	RXRA
EP300	NR3C1
BRCA1	RPAP2
RPAP2	RXRG
EP300	SMAD2
BRCA1	CREB1
BRCA1	ETS1
BRCA1	RB1
RB1	SPI1
BRCA1	SP1
EP300	FOXO3
BRCA1	TFAP2A
EP300	STAT3
EP300	SMAD4
JUN	STAT4
BRCA1	HIF1A
EP300	IRF3
EP300	VDR
BRCA1	XRCC6
BRCA1	UBE2I
UBE2I	PPARA
NFKB1	TNF
RELA	TNF
HIF1A	EDN1
STAT1	SOCS7
STAT1	SOCS2
STAT3	SOCS7
STAT3	SOCS2
STAT4	SOCS7
STAT4	SOCS2
MYD88	IL12A
MYD88	IL12B
MYD88	TNF
VDR	ATP2B1
VDR	S100G
IRF8	IL12A
IRF8	IL12B
IRF1	IL12A
IRF1	IL12B
FOXO3	BCL2L11
PPARA	ACSL1
PPARA	ACSBG2
PPARG	ACSL1
PPARG	GK2
PPARG	ACSBG2
RXRA	ACSL1
RXRA	GK2
RXRA	ACSBG2
RXRB	ACSL1
RXRB	GK2
RXRB	ACSBG2
RXRG	ACSL1
RXRG	GK2
RXRG	ACSBG2
SMAD2	PITX2
SMAD3	PITX2
SMAD4	PITX2
FOS	IL12A
FOS	IL12B
FOS	TNF
IRF3	CD40
IRF5	IL12A
IRF5	IL12B
IRF5	TNF
IRF7	IFNA1
IRF7	IFNA2
IRF7	IFNA5
IRF7	IFNA8
JUN	IL12A
JUN	IL12B
JUN	TNF
NFKB1	IL12A
NFKB1	IL12B
RELA	IL12A
RELA	IL12B
SPI1	FCGR1A
CREB1	HLA-DRB4
MAPK14	IL12A
MAPK14	IL12B
MAPK14	IL23A
MAPK14	TNF
MYD88	IFNA1
MYD88	IFNA2
MYD88	IFNA5
MYD88	IFNA8
NFKB1	IL23A
MAPK1	IL12A
MAPK1	IL12B
MAPK1	IL23A
MAPK1	TNF
MAPK3	IL12A
MAPK3	IL12B
MAPK3	IL23A
MAPK3	TNF
MAPK8	IL12A
MAPK8	IL12B
MAPK8	IL23A
MAPK8	TNF
MAPK11	IL12A
MAPK11	IL12B
MAPK11	IL23A
MAPK11	TNF
MAPK9	IL12A
MAPK9	IL12B
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL23A
MAPK13	TNF
RELA	IL23A
STAT1	CIITA
ETS1	DNTT
POU2F1	HIST2H2BE
CREB1	IL2
EGR1	IL2
NFKB1	IL2
POU2F1	IL2
POU2F2	IL2
RELA	IL2
SP1	IL2
POU2F1	IL4
POU2F2	IL4
NFKB1	LTA
CREB1	NRAS
JUN	NRAS
TFAP2A	NRAS
EGR1	TNF
ETS1	TNF
POU2F1	TNF
SP1	TNF
SPI1	TNF
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
