KCNJ11	YWHAB
ACTN4	RARA
YWHAZ	NFATC4
NFATC4	CEBPA
YWHAZ	APP
SLC9A3R1	YWHAQ
YWHAQ	NCOA1
NCOA1	RARB
AJUBA	RARG
TP53	ETS2
SLC9A3R2	HRAS
HRAS	SOS1
YWHAQ	ESR1
ESR1	SOS2
ESR1	STAT5A
YAP1	EGFR
EGFR	STAT5B
YWHAQ	HSPB1
HSPB1	STAT2
SLC9A3R1	ADRB2
ADRB2	STAT4
STAT3	STAT6
SMARCA2	CEBPB
SLC9A3R1	RPS3
RPS3	NFKB1
YWHAZ	UBC
UBC	DAZAP2
CTNNB1	TCF7L2
YAP1	TEAD1
UBE2D1	TRIM27
YAP1	TEAD3
YWHAZ	XRCC6
XRCC6	POU2F1
NCOA1	PPARA
CTNNB1	PPARG
HIF1A	MYC
SLC9A3R1	CFTR
CFTR	HSP90AA1
HSP90AA1	NR3C2
STAT3	PGR
RPS3	RELA
YWHAQ	NRIP1
NRIP1	RXRA
RARA	RXRB
YWHAZ	HDAC4
ABCC8	RAPGEF4
RAPGEF4	RAP1A
RAP1A	HDAC1
HDAC1	CREB1
HDAC1	SP1
RAP1A	NTRK1
NTRK1	STAT3
RAPGEF4	TRAF2
TRAF2	JUN
NTRK1	STAT1
RAP1A	TSC2
TSC2	SMAD3
TRAF2	ELAVL1
ELAVL1	TFAP2A
RAP1A	FAF1
FAF1	HIF1A
HDAC1	CREBBP
HDAC1	EP300
TRAF2	PIAS2
PIAS2	ARNT
JUN	ETS1
PIAS2	SMAD4
TRAF2	COPS5
COPS5	JUND
TRAF2	UBE2D1
ABCC8	KCNJ11
TRAF2	SMURF1
SMURF1	JUNB
HDAC1	RARA
ELAVL1	CEBPA
ELAVL1	ELK1
NTRK1	PRKD2
PRKD2	RARB
HDAC1	E2F4
RAP1A	CDC42
CDC42	TP53
NTRK1	SOS1
NTRK1	SOS2
HDAC1	ESR1
CDC42	RUVBL1
RUVBL1	LEF1
UBE2D1	YAP1
TRAF2	EGFR
EGFR	STAT5A
NTRK1	STAT5B
PIAS2	STAT4
JUN	STAT6
RAP1A	SMARCA2
RAP1A	HSPA4
HSPA4	NFKB1
TRAF2	UBC
TRAF2	USP4
USP4	TCF7L2
NTRK1	CTNNB1
NTRK1	INSR
INSR	TEAD1
NTRK1	GOLGA2
GOLGA2	TEAD4
NTRK1	PHB2
PHB2	TEAD3
HDAC1	POU2F1
HDAC1	E2F1
HDAC1	PPARG
ELAVL1	E2F2
HDAC1	E2F3
HDAC1	PPARD
HDAC1	SP3
RAP1A	BIN1
BIN1	MYC
NTRK1	TRIM24
TRIM24	NR3C2
PIAS2	PGR
NTRK1	RELA
TRAF2	NRIP1
NTRK1	CUL1
CUL1	RXRG
JUN	ATF2
TRAF2	USF1
USF1	USF2
NR3C2	ATP1B1
TP53	GADD45A
TP53	SFN
JUN	NFKB1
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
ELK1	CCND3
JUN	CCND3
SMAD3	MYC
CREBBP	ANGPT1
CREBBP	SERPINE1
CREBBP	TIMP1
EP300	ANGPT1
EP300	SERPINE1
EP300	TIMP1
HIF1A	ANGPT1
HIF1A	SERPINE1
HIF1A	TIMP1
ARNT	ANGPT1
ARNT	SERPINE1
ARNT	TIMP1
YAP1	AFP
YAP1	MYC
YAP1	SERPINE1
YAP1	CCND3
WWTR1	AFP
WWTR1	SERPINE1
SMAD3	SERPINE1
SMAD4	SERPINE1
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	SPRY2
SOS1	MYC
SOS1	CCND3
SOS2	SPRY2
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
TP53	SERPINE1
PPARA	ACSL3
PPARA	APOC3
PPARG	ACSL3
RXRA	ACSL3
RXRA	APOC3
RXRB	ACSL3
RXRB	APOC3
RXRG	ACSL3
RXRG	APOC3
CEBPA	TWF2
CREB1	TWF2
ELK1	TWF2
ETS2	TWF2
TP53	HSP90AB1
LEF1	ADA
NFIC	ADA
SP1	ADA
CEBPA	AFP
CEBPB	AFP
NFIC	AFP
SP1	AGT
NFIC	ALAS1
SP1	APEX1
ATF2	APOC3
USF2	APOC3
CREB1	AQP3
TP53	BAK1
HIF1A	BNIP3
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
CEBPB	CSRP1
STAT3	CSRP1
SP3	DNASE2
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
NFIC	GOT1
SP1	KRT5
TFAP2A	KRT5
SP1	MAT2B
SP3	MAT2B
RARA	MIF
RARB	MIF
RARG	MIF
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
CEBPA	NFKB1
CEBPB	NFKB1
ETS1	NFKB1
ATF2	PLAT
CREB1	PLAT
JUN	PLAT
JUND	PLAT
NFIC	PLAT
TFAP2A	PLAT
ESR1	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
USF2	SERPINE1
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
SP1	TTR
