ADRA1B	AP2M1
YWHAQ	YAP1
KCNH2	CDC73
CDC73	CTNNB1
CTNNB1	LEF1
YWHAE	MAP3K7
MAP3K7	DAZAP2
CTNNB1	TCF7L2
HSP90AA1	HIF1A
MAPK14	MAPK1
MAPK14	MAPK3
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
YWHAE	WWTR1
YWHAE	EIF3E
EIF3E	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
YWHAE	CBL
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
ABL1	CREB1
YWHAE	HDAC4
HDAC4	NFKB1
CBL	SMAD7
HSP90AA1	PPARD
KCNH2	NEDD4L
NEDD4L	SMAD3
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
HSPA8	SNCA
SNCA	ELK1
HSP90AA1	BRCA1
YWHAE	TBK1
TBK1	NFKB2
LEF1	MYC
TCF7	MYC
TCF7L2	MYC
TCF7L1	MYC
ESR1	ATP2B1
ELK1	CCND3
JUN	CCND3
SMAD3	MYC
CREBBP	HMOX1
CREBBP	LTBR
CREBBP	SERPINE1
CREBBP	PDK1
EP300	HMOX1
EP300	LTBR
EP300	SERPINE1
EP300	PDK1
HIF1A	HMOX1
HIF1A	LTBR
HIF1A	SERPINE1
HIF1A	PDK1
ARNT	HMOX1
ARNT	LTBR
ARNT	SERPINE1
ARNT	PDK1
YAP1	MYC
YAP1	SERPINE1
YAP1	CCND3
SMAD3	SERPINE1
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	MYC
SOS1	CCND3
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT1	SOCS5
STAT2	MYC
STAT2	CCND3
STAT2	SOCS5
STAT3	MYC
STAT3	CCND3
STAT3	SOCS5
STAT4	MYC
STAT4	CCND3
STAT4	SOCS5
STAT5A	MYC
STAT5A	CCND3
STAT5A	SOCS5
STAT5B	MYC
STAT5B	CCND3
STAT5B	SOCS5
STAT6	MYC
STAT6	CCND3
STAT6	SOCS5
MAPK1	CDK4
MAPK3	CDK4
TP53	DDB2
TP53	SERPINE1
TP53	ZMAT3
TP53	CCNG1
ETS1	CDK4
FOS	CDK4
JUN	CDK4
MYC	CDK4
NFKB1	TRAF5
NFKB2	TRAF5
RELA	TRAF5
PPARD	ILK
RXRA	ILK
RXRB	ILK
RXRG	ILK
MAX	CDK4
MAX	CDK6
MYC	CDK6
POU2F1	ALDOC
CREB1	AQP3
HIF1A	BNIP3
MYC	CSTB
CREB1	HMOX1
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
NFIC	HRAS
SP1	HRAS
NFIC	HSPA1A
TFAP2A	HSPA1A
MYC	MYC
ESR1	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	ODC1
CREB1	ODC1
SP1	ODC1
FOS	PDHA1
JUN	PDHA1
SP1	PDHA1
TFAP2A	PDHA1
ESR1	SERPINE1
PPARD	SERPINE1
SP1	SERPINE1
ESR1	TFF1
JUN	TFF1
ATF6	XBP1
