ADRA1B	AP2M1
EP300	ATF2
GOPC	TGFBR2
TGFBR2	HSP90AA1
RELA	ATF4
GOPC	KPNA1
KPNA1	STAT1
ADRA1D	SNTB2
SNTB2	ABCA1
ABCA1	COPS5
COPS5	CREB3
NUP62	NXF1
NXF1	ATF6B
GOPC	CCDC102B
CCDC102B	CEP19
CEP19	CREB3L2
KPNA1	RUNX1T1
RUNX1T1	CREB3L1
SNTB2	MAST2
MAST2	TRAF2
RELA	REL
EP300	TFAP2A
ABCA1	CREBBP
RELA	HIF1A
RELA	CEBPB
AMFR	HTT
RELA	EGR1
RELA	POU2F1
RELA	FOS
NUP62	MUC1
MUC1	SOS1
ACTB	ESR1
ESR1	SOS2
TRIM28	E2F1
GOPC	CDC42
CDC42	BCAR1
BCAR1	E2F2
TRIM28	E2F3
ADRA1D	ACTA2
ACTA2	TPM1
TPM1	JUND
DTNA	DMD
DMD	APP
APP	ELK1
RELA	NFKB2
RELA	SMAD3
RELA	SMAD4
EP300	STAT5A
AMFR	HAX1
HAX1	STAT5B
TRIM28	STAT4
CREBBP	ATF1
AMFR	UBE2D1
UBE2D1	YAP1
ACTB	RUVBL1
AMFR	UBC
AMFR	PSMA3
PSMA3	TCF7L2
NUP62	CTNNB1
HTT	ZDHHC17
ZDHHC17	TEAD1
DTNA	SNTA1
SNTA1	GOLGA2
GOLGA2	TEAD4
MAST2	SUMO2
SUMO2	TEAD3
AMFR	EEF1A1
RELA	USF2
GOPC	BECN1
BECN1	BRCA1
GOPC	MYOCD
MYOCD	SRF
AMFR	VCP
VCP	TOP1
TOP1	ELK3
GOPC	HSF1
AMFR	HSPA4
HSPA4	ERG
RELA	NCOR2
RELA	MAPK14
RELA	HDAC3
HDAC3	MAPK11
DTNA	PSEN1
PSEN1	TRAF6
TRAF6	MYD88
RELA	PPARG
RELA	PPARA
RELA	RXRA
ABCA1	NR1H2
NR1H2	RXRB
NR1H2	RXRG
RELA	RELB
RELA	SP3
VCP	MAPK1
VCP	MAPK3
ERLIN2	SREBF2
SREBF2	NFYA
ACTB	TAF11
TAF11	NFYC
APP	RFX5
NUP62	NCL
NCL	RFXAP
NXF1	RFXANK
EP300	EPAS1
CREBBP	CREM
CDC42	KAT5
KAT5	CEBPA
DTNA	TJP1
TJP1	ACTN4
ACTN4	RARA
GOPC	ZBTB49
ZBTB49	ZBTB17
SREBF2	PIAS2
DTNA	MYO1E
MYO1E	CAND1
CAND1	NR3C2
ESR1	ESR2
CTNNB1	PPARD
DMD	NEDD4
NEDD4	SMAD2
ADRA2A	UCHL1
UCHL1	COPS5
COPS5	NFKB1
UCHL1	TP53
ADRA2A	GNAI2
GNAI2	NPM1
NPM1	RELA
ADRA2A	GNB1
GNB1	MTOR
MTOR	STAT3
GNAI2	GNAI3
GNAI3	XPO1
XPO1	E2F4
TP53	CREB1
UCHL1	CTNNB1
CTNNB1	SP1
GNAI2	ITCH
ITCH	JUN
UCHL1	CDK4
CDK4	MYC
ADRA2A	GNAO1
GNAO1	RGS20
RGS20	RUVBL2
UCHL1	HSP90AA1
GNAO1	GABBR1
GABBR1	ATF4
MTOR	STAT1
UCHL1	CDK6
CDK6	ATF6B
CTNNB1	ELAVL1
ELAVL1	CREB3L2
GNAI2	MDFI
MDFI	PRKAB2
RGS20	CREB5
GNAI2	NUCB1
NUCB1	REL
NPM1	TFAP2A
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	HIF1A
HSP90AA1	ARNT
ITCH	SMAD3
SMAD3	CEBPB
UCHL1	UBE2I
UBE2I	ETS1
ITCH	HTT
TP53	EGR1
UCHL1	HSPA8
UBE2I	FOS
UCHL1	TNFRSF1A
TNFRSF1A	SOS1
GNAI2	TRIP6
TRIP6	ABI2
ABI2	SOS2
UCHL1	UBC
TRIP6	BCAR1
NUCB1	RBL1
RBL1	E2F3
COPS5	JUND
UBE2I	ELK1
REL	NFKB2
COPS5	SMAD4
ITCH	ERBB4
ERBB4	STAT5A
GNAI2	PLSCR1
PLSCR1	EGFR
EGFR	STAT5B
NPM1	BRCA1
BRCA1	ATF1
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
CTNNB1	LEF1
PLSCR1	DAZAP2
CTNNB1	TCF7L2
CTNNB1	SOX2
SOX2	TEAD1
GNAI2	GNG5
GNG5	GOLGA2
MDFI	PIDD1
PIDD1	TEAD3
HSP90AA1	STAT2
TP53	STAT6
BRCA1	USF2
UBE2I	SRF
GNAI2	SRSF1
SRSF1	TOP1
SRSF1	PIAS1
PIAS1	FLI1
UBE2I	HSF1
NPM1	JUNB
GNB1	PAK1
PAK1	ESR1
TP53	ETS2
HSP90AA1	MAX
ITCH	SMAD2
SMAD2	RARB
GNB1	ARRB1
ARRB1	MAPK14
PLSCR1	PML
PML	MAPK11
NPM1	VCP
ITCH	MDM2
CTNNB1	PPARG
UBE2I	PPARA
UBE2I	RXRA
MDFI	NR1H2
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	CDK1
CDK1	RELB
PIAS1	SP3
TP53	MAPK1
TP53	MAPK3
TP53	NFYB
SMAD3	NFYC
GNAI2	VAC14
VAC14	APP
NPM1	NCL
SRSF1	NXF1
NPM1	EPAS1
NPM1	HDAC1
CDK4	CEBPA
AJUBA	RARA
HSP90AA1	ZBTB17
UBE2I	PIAS2
NPM1	TRIM21
TRIM21	IRF5
AJUBA	RARG
GNAI3	YWHAQ
YWHAQ	ESR2
HSP90AA1	IRF3
ADRA2B	UCHL1
TP53	RELA
HSP90AA1	STAT3
CTNNB1	BRCA1
BRCA1	E2F4
UBE2I	JUN
ADRA2B	EIF2B1
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	ATF2
EIF2B1	GORASP2
GORASP2	SHMT2
SHMT2	ATF4
UBE2I	STAT1
COPS5	PGRMC1
PGRMC1	CREB3L1
BRCA1	CREB5
UCHL1	PARK2
PARK2	REL
TP53	TFAP2A
HNRNPL	HNRNPK
HNRNPK	CEBPB
UBE2I	TP63
TP63	ETV4
CTNNB1	ESR1
SHMT2	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
CTNNB1	BTRC
BTRC	NFKB2
TP53	SMAD3
UBE2I	NR3C1
NR3C1	STAT5B
UBE2I	TRIM28
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
GORASP2	GOLGA2
UBE2I	SUMO2
CTNNB1	TCF3
UBE2I	NCOR2
TP53	MAPK14
UBE2I	PML
TP53	VCP
CTNNB1	HDAC6
HDAC6	MYD88
PPARG	RXRB
HNRNPL	SFPQ
CTNNB1	CDK2
CDK2	NFYC
GORASP2	APP
HNRNPL	NHP2L1
SHMT2	RFXANK
HSP90AA1	EPAS1
GORASP2	ACY3
ACY3	RARG
TP53	SMAD2
ADRA2C	UCHL1
ADRA2C	EIF2B1
ADRB1	ARRB2
ARRB2	NFKBIA
NFKBIA	NFKB1
ARRB2	IGF1R
IGF1R	TP53
ARRB2	PRMT5
PRMT5	RELA
ARRB2	CAPN1
CAPN1	STAT3
ARRB2	TRIM28
ARRB2	AKT1
AKT1	CREB1
ARRB2	MAPK1
MAPK1	SP1
ARRB2	MAP2K4
MAP2K4	JUN
ARRB2	HNRNPD
HNRNPD	MYC
MAPK1	ATF2
ADRB1	ARRB1
ARRB1	HSP90AA1
NFKBIA	ATF4
ARRB2	STAT1
JUN	CREB3
ARRB2	RPA1
RPA1	MOV10
MOV10	ATF6B
RPA1	ELAVL1
RPA1	PGRMC1
ARRB2	HNRNPA1
HNRNPA1	KRT15
KRT15	CREB5
ARRB2	FLNA
FLNA	REL
ARRB2	NPM1
ARRB2	CSK
CSK	CREBBP
ARRB2	HSPA5
HSPA5	EP300
CAPN1	HIF1A
MAPK1	CEBPB
JUN	ETS1
ARRB2	MCM3
MCM3	SAE1
SAE1	ETV4
CREBBP	EGR1
ARRB2	XRCC6
XRCC6	POU2F1
ARRB2	POLR2E
POLR2E	FOS
ARRB2	RALGDS
RALGDS	HRAS
HRAS	SOS1
RPA1	EGFR
EGFR	SOS2
ARRB2	YWHAQ
YWHAQ	E2F1
MOV10	E2F2
MAPK1	JUND
NFKBIA	NFKB2
RPA1	SMAD3
ARRB2	SPTBN1
MAPK1	STAT5A
ARRB1	JAK1
JAK1	STAT5B
ARRB2	CSNK2A1
CSNK2A1	ATF1
YWHAQ	YAP1
ARRB2	ALYREF
ALYREF	LEF1
ARRB2	HGS
HGS	DAZAP2
ADRB1	MAGI2
MAGI2	CTNNB1
HGS	INSR
INSR	TEAD1
ARRB2	CUL5
CUL5	TRIM27
TRIM27	TEAD4
IGF1R	PHB2
STAT1	STAT2
ARRB2	EEF1A1
ARRB2	MAPK3
MAPK3	ELK4
CSNK2A1	SRF
ARRB2	HNRNPM
HNRNPM	TOP1
ARRB2	C1QBP
C1QBP	PRKCD
PRKCD	FLI1
ARRB2	XRCC5
XRCC5	BRCA1
MAPK1	HSF1
ARRB2	HSPA8
ARRB2	MAPK9
MAPK9	JUNB
IGF1R	ESR1
CREBBP	ETS2
ARRB2	DYNC1H1
DYNC1H1	MAX
RPA1	CCNH
CCNH	RARB
E2F1	SP4
ADRB1	GPRASP2
GPRASP2	RPS6KA5
RPS6KA5	MAPK11
ARRB2	VCP
ARRB2	TRAF6
XRCC6	PPARG
ARRB2	CDK3
CDK3	PPARA
MAPK1	RXRA
ARRB2	MLLT4
MLLT4	NR2C2
NR2C2	RXRB
RPA1	CUL1
CUL1	RXRG
ARRB2	UBC
NFKBIA	RELB
ARRB2	SFPQ
CSNK2A1	NFYA
MCM3	CDK2
CDK2	NFYB
ARRB2	GAPDH
MAP2K4	APP
ARRB2	NCL
GPRASP2	RAF1
MCM3	EPAS1
MAPK3	CREM
C1QBP	CEBPA
AKT1	RARA
AKT1	PIAS2
ARRB2	PTGES3
PTGES3	NR3C2
TRAF6	IRF5
C1QBP	MRPL12
MRPL12	RARG
MAPK9	IRF3
ARRB2	HDAC2
HDAC2	PPARD
ARRB2	NEDD4
ADRB2	STAT3
STAT3	NFKB1
ADRB2	TSG101
TSG101	TP53
STAT3	RELA
STAT3	PML
PML	E2F4
ADRB2	MAPK14
MAPK14	CREB1
STAT3	SP1
STAT3	JUN
ADRB2	VHL
VHL	MYC
MAPK14	ATF2
ADRB2	GRB2
GRB2	HSP90AA1
ADRB2	SHMT2
STAT3	STAT1
SHMT2	CREB3
GRB2	RBM33
RBM33	ATF6B
ADRB2	REL
REL	CEP19
ADRB2	PGRMC1
ADRB2	RGS20
STAT3	EP300
REL	CREBBP
STAT3	HIF1A
PML	ARNT
ADRB2	HNRNPK
GRB2	HTT
ADRB2	LMNB1
LMNB1	POU2F1
PML	FOS
GRB2	SOS1
GRB2	SOS2
VHL	E2F1
STAT3	RB1
STAT3	MAPK8
MAPK8	ELK1
STAT3	NFKB2
ADRB2	NEDD4
NEDD4	SMAD3
ADRB2	KPNB1
KPNB1	SMAD4
STAT3	EGFR
ADRB2	STAT4
ADRB2	ARRB2
ADRB2	SLC9A3R1
SLC9A3R1	YAP1
STAT3	SMAD1
SMAD1	LEF1
ADRB2	HGS
PML	TCF7L2
DAZAP2	TCF7L1
STAT3	NCOA1
NCOA1	TEAD1
GRB2	TRIM27
ADRB2	PHB2
STAT3	STAT6
MAPK8	ELK4
ADRB2	PRKDC
ADRB2	VCP
ADRB2	C1QBP
ADRB2	UBC
UBC	BRCA1
ADRB2	HSPA1A
HSPA1A	HSF1
PHB2	CTNNB1
NEDD4	ERG
ADRB2	SRC
SRC	ESR1
ADRB2	HNRNPU
HNRNPU	MAX
NCOA1	RARB
ADRB2	HDAC6
NEDD4	PPARG
SRC	RXRA
TSG101	NR3C1
SRC	THRB
THRB	RXRG
MAPK14	ATF6
REL	RELB
EP300	SP3
STAT3	MAPK1
SHMT2	NFYA
GRB2	NFYB
ADRB2	GAPDH
HGS	APP
VHL	EPAS1
STAT3	HDAC1
PML	RARA
PML	PIAS2
ADRB2	MRPL12
ADRB2	TOMM70A
TOMM70A	IRF3
STAT3	HDAC2
ADRB3	SRC
SRC	STAT3
SRC	TP53
SRC	AR
AR	E2F4
SRC	CREBBP
CREBBP	CREB1
CREBBP	MYC
CREBBP	ATF2
SRC	GRB2
CREBBP	ATF4
SRC	STAT1
SRC	HDAC3
HDAC3	CREB3
SRC	SNCA
SNCA	Dynll1
Dynll1	CREB3L2
SRC	BCAR1
BCAR1	FXYD6
FXYD6	CREB3L1
GRB2	KRT15
GRB2	REL
SRC	EGFR
EGFR	CEBPB
CREBBP	ETS1
CREBBP	FOS
ESR1	E2F1
SRC	MDM2
MDM2	JUND
CREBBP	ELK1
CREBBP	SMAD3
AR	SMAD4
EGFR	STAT5A
STAT3	TRIM28
SRC	ENO1
ENO1	YAP1
SRC	PLSCR1
AR	TCF7L2
EGFR	CTNNB1
GRB2	AP4S1
AP4S1	TEAD3
EGFR	STAT2
CREBBP	SRF
CREBBP	TCF3
EGFR	CTBP2
CTBP2	FLI1
CREBBP	BRCA1
STAT1	HSF1
SRC	NEDD4
CREBBP	JUNB
SRC	CBL
CBL	MAPK14
SRC	ARRB2
SRC	TLR4
TLR4	MYD88
CREBBP	PPARG
RXRA	PPARA
THRB	RXRB
STAT3	DAXX
DAXX	RELB
CREBBP	SP3
EGFR	APP
SRC	EPS8
EPS8	RFXAP
SRC	RAF1
SRC	EGLN1
EGLN1	EPAS1
STAT3	CDKN1A
CDKN1A	CEBPA
CREBBP	RARA
AR	PIAS2
CREBBP	IRF5
NCOA1	RARG
CREBBP	IRF3
CREBBP	SMAD2
RARA	CCNA1
NR3C2	ATP1B1
NR3C2	SGK1
CREB3	ARC
CREB3	FOS
CREB1	ARC
CREB1	FOS
ATF2	ARC
ATF2	FOS
ATF6B	ARC
ATF6B	FOS
ATF4	ARC
ATF4	FOS
CREB3L2	ARC
CREB3L2	FOS
CREB3L1	ARC
CREB3L1	FOS
CREB5	ARC
CREB5	FOS
NFKB1	BIRC3
RELA	BIRC3
SMAD2	CDKN2B
SMAD3	CDKN2B
SMAD4	CDKN2B
ZBTB17	CDKN2B
JUN	CDK5
FOS	CCND1
JUN	CCND1
MYC	CCND1
LEF1	MYC
LEF1	CCND1
TCF7	MYC
TCF7	CCND1
TCF7L2	MYC
TCF7L2	CCND1
TCF7L1	MYC
TCF7L1	CCND1
MAPK14	CXCL1
JUN	CXCL1
NFKB1	CXCL1
NFKB1	CCL5
MAPK11	CXCL1
MAPK13	CXCL1
RELA	CXCL1
RELA	CCL5
CTNNB1	CCND1
CTNNB1	CCND3
ELK1	BIRC3
ELK1	CCND1
ELK1	CCND3
JUN	CCND3
CREB3	PCNA
CREB1	PCNA
ATF2	PCNA
ATF6B	PCNA
SMAD3	MYC
ATF4	PCNA
NFKB1	IL6
RELA	IL6
CREB3L2	PCNA
TP53	CDKN1B
CREB3L1	PCNA
CREB5	PCNA
CREBBP	CDKN1B
CREBBP	ALDOA
CREBBP	GAPDH
CREBBP	LDHA
CREBBP	LTBR
CREBBP	SERPINE1
CREBBP	TFRC
CREBBP	TIMP1
CREBBP	VEGFB
EP300	CDKN1B
EP300	ALDOA
EP300	GAPDH
EP300	LDHA
EP300	LTBR
EP300	SERPINE1
EP300	TFRC
EP300	TIMP1
EP300	VEGFB
HIF1A	CDKN1B
HIF1A	ALDOA
HIF1A	GAPDH
HIF1A	LDHA
HIF1A	LTBR
HIF1A	SERPINE1
HIF1A	TFRC
HIF1A	TIMP1
HIF1A	VEGFB
ARNT	CDKN1B
ARNT	ALDOA
ARNT	GAPDH
ARNT	LDHA
ARNT	LTBR
ARNT	SERPINE1
ARNT	TFRC
ARNT	TIMP1
ARNT	VEGFB
YAP1	MYC
YAP1	SERPINE1
YAP1	CCND1
YAP1	CCND3
SMAD2	SERPINE1
SMAD3	SERPINE1
SMAD4	SERPINE1
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	MYC
TEAD1	CCND1
TEAD1	CCND3
TEAD4	MYC
TEAD4	CCND1
TEAD4	CCND3
TEAD3	MYC
TEAD3	CCND1
TEAD3	CCND3
TCF7L1	CCND3
SOS1	SPRY1
SOS1	SPRY2
SOS1	MYC
SOS1	CCND1
SOS1	CCND3
SOS2	SPRY1
SOS2	SPRY2
SOS2	MYC
SOS2	CCND1
SOS2	CCND3
STAT1	MYC
STAT1	CCND1
STAT1	CCND3
STAT2	MYC
STAT2	CCND1
STAT2	CCND3
STAT3	MYC
STAT3	CCND1
STAT3	CCND3
STAT4	MYC
STAT4	CCND1
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND1
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND1
STAT5B	CCND3
STAT6	MYC
STAT6	CCND1
STAT6	CCND3
HSF1	HSPA1A
HSF1	HSPA2
HSF1	HSPA8
MYD88	CXCL1
MYD88	IL6
ELK1	FOS
ELK4	FOS
SRF	FOS
MAPK1	CCND1
MAPK3	CCND1
NFKB1	BCL2A1
NFKB2	CCL19
NFKB2	CCL21
RELA	BCL2A1
RELB	CCL19
RELB	CCL21
TP53	CD82
TP53	SERPINE1
TP53	GTSE1
TP53	RRM2
TP53	ZMAT3
TP53	CCNG1
NFKB1	VEGFB
RELA	VEGFB
STAT1	VEGFB
STAT3	VEGFB
EPAS1	VEGFB
ETS1	CCND1
ETS1	VEGFB
FOS	VEGFB
JUN	VEGFB
MAX	CKS1B
MAX	CKS2
MYC	CKS1B
MYC	CKS2
MYC	VEGFB
NFKB1	CCND1
NFKB1	TRAF5
NFKB2	BIRC3
NFKB2	CCND1
NFKB2	TRAF5
RELA	CCND1
RELA	TRAF5
PIAS2	CDKN2B
PPARA	DBI
PPARA	ACSL3
PPARA	SCD
PPARD	UBC
PPARG	FABP4
PPARG	ACSL3
PPARG	SCD
RXRA	DBI
RXRA	FABP4
RXRA	ACSL3
RXRA	SCD
RXRA	UBC
RXRB	DBI
RXRB	FABP4
RXRB	ACSL3
RXRB	SCD
RXRB	UBC
RXRG	DBI
RXRG	FABP4
RXRG	ACSL3
RXRG	SCD
RXRG	UBC
EGR1	CCL5
ELK1	EGR1
MAX	CDK6
MAX	CCND1
MYC	CDK6
CREBBP	CDKN2B
EP300	CDKN2B
SP1	CDKN2B
FOS	IL6
FOS	CCL5
IRF3	CXCL10
IRF3	CXCL9
IRF5	IL6
IRF5	CCL5
JUN	IL6
JUN	CCL5
STAT1	CXCL10
STAT1	CXCL9
CREB1	HLA-DMA
CREB1	HLA-DMB
MAPK14	IL6
NFKB1	CEBPB
NFYA	HLA-DMA
NFYA	HLA-DMB
NFYB	HLA-DMA
NFYB	HLA-DMB
NFYC	HLA-DMA
NFYC	HLA-DMB
MAPK1	IL6
MAPK3	IL6
MAPK11	IL6
MAPK13	IL6
RELA	CEBPB
RFX5	HLA-DMA
RFX5	HLA-DMB
RFXAP	HLA-DMA
RFXAP	HLA-DMB
RFXANK	HLA-DMA
RFXANK	HLA-DMB
LEF1	MMP7
TCF7	MMP7
TCF7L2	MMP7
TCF7L1	MMP7
PPARG	SAT1
SP1	COL4A1
TP53	HSP90AB1
JUN	ALDOA
SP1	ALDOA
SP1	APEX1
CREB1	ARG1
NFIC	ARG1
ATF4	ASNS
MYC	CCNB1
TFAP2A	CCNB1
USF2	CCNB1
ATF2	CCND1
CREB1	CCND1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
EGR1	CD44
SP1	CD44
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
CEBPB	CSRP1
REL	CSRP1
STAT3	CSRP1
NFKB1	CTSB
RELA	CTSB
SP3	CTSB
USF2	CTSB
MYC	DDX18
MYC	EIF4E
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
CEBPA	FN1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
ETV4	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
NFIC	HRAS
SP1	HRAS
NFIC	HSPA1A
TFAP2A	HSPA1A
SP1	HSPA8
ATF2	IFNG
CREB1	IFNG
EGR1	IFNG
REL	IFNG
STAT1	IFNG
STAT4	IFNG
STAT5A	IFNG
STAT5B	IFNG
ATF1	IL6
CEBPA	IL6
CEBPB	IL6
CREB1	IL6
EGR1	IL6
JUND	IL6
NFIC	IL6
REL	IL6
TFAP2A	IL6
SP1	KRT18
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
JUN	MGP
JUN	MMP7
E2F4	MYC
MYC	MYC
ESR1	MYC
JUN	MYC
NFKB1	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYC	NME1
TP53	NME1
FOS	NQO1
JUND	NQO1
E2F4	PCNA
BRCA1	PCNA
TP53	PCNA
SP3	PFKP
ATF2	PLAT
CREB1	PLAT
CREM	PLAT
JUN	PLAT
JUND	PLAT
NFIC	PLAT
TFAP2A	PLAT
TP53	PLK1
CREB1	POLD2
JUN	POLD2
NFIC	POLD2
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
ETS1	PPP2R4
NFKB1	PPP2R4
TP53	PTTG1
EGR1	SERPINE1
EPAS1	SERPINE1
ESR1	SERPINE1
ESR2	SERPINE1
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
USF2	SERPINE1
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
NFKB1	TFPI2
POU2F1	TFPI2
SP1	TFPI2
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
SP3	TNPO1
TFAP2A	TNPO1
SP1	TPI1
JUN	TXN
ERG	VIM
ETV4	VIM
ERG	VWF
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
POU2F1	VWF
ATF6	XBP1
