ATP1A1	SLC8A1
NFKB2	TRAF2
ATF4	MCL1
CREB3L2	BCL2
CREB5	MCL1
PPARA	SLC27A4
PPARA	CYP7A1
PPARD	FABP3
PPARD	ANGPTL4
PPARD	ACOX3
PPARG	SLC27A4
PPARG	CYP27A1
RXRA	CYP8B1
RXRA	FABP1
RXRA	ACADL
RXRA	APOA2
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	CEBPB
NFKB1	IL23A
NFYB	LOC101060835
NFYB	HLA-DMA
NFYB	HLA-DRB3
NFYB	HLA-DRB4
NFYB	CD74
NFYC	LOC100507709
NFYC	HLA-DMA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK8	IL18
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL1A
MAPK11	IL1B
MAPK11	IL6
MAPK9	IL18
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK10	IL18
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
MAPK12	IL1A
MAPK12	IL1B
RFXANK	HLA-DMB
RFXANK	HLA-DOA
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
RFXANK	HLA-DRB5
RFXANK	CD74
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
NFKB1	REL
POU2F1	REL
SP1	CDKN1C
SP1	COL4A2
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
USF2	ABCA1
SP1	ADA
SP1	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
USF2	CEACAM5
ATF4	CGA
CREB1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
CEBPB	CSRP1
REL	CSRP1
SP3	CTSL
TFAP2A	CYP11A1
SP1	DKC1
SP3	DKC1
MYC	EIF4E
JUN	F3
JUND	F3
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
SP1	GH2
TFAP2A	HMOX1
CEBPB	HP
CREB1	HPGD
NFIC	HSPA1A
SP1	HSPA8
SP1	HSPB1
SP1	IL2
REL	IL2RA
STAT3	IL2RA
CEBPB	IL4
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
NFKB1	MMP3
FLI1	MMP9
BCL6	NFKB1
CEBPA	NFKB1
SPI1	NFKB1
TAL1	NFKB1
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
TP53	NME1
MYC	NME2
FOS	NQO1
JUND	NQO1
RELA	NR4A1
MYC	NRAS
JUN	NRAS
MYB	NRAS
PAX6	PDHX
JUN	PENK
SP3	PFKP
CREB1	PLAT
NFIC	PLAT
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
ETV4	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
RARA	S100A8
SPI1	SCARB2
CEBPA	SERPINC1
NFIC	SFTPC
POU2F1	SPP1
EGR1	TFPI2
POU2F1	TFPI2
HOXA4	TH
STAT1	TIMP1
EGR4	TNF
POU2F1	TNF
SMAD4	TNNC1
STAT1	TP53
JUN	TXN
USF2	TYMS
