TNFSF11	TNFRSF11A
MAGI2	MAPK8
CREBBP	STAT3
CREBBP	SMAD3
CREBBP	STAT1
LEF1	MYC
CREBBP	CREB1
LEF1	YAP1
YAP1	SMAD4
CTNNB1	EP300
CREBBP	HIF1A
CREBBP	ARNT
RAC1	MAPK1
CREBBP	CREB3
CREB3	FOS
RAC1	RELA
CTNNB1	CCND1
CTNNB1	TCF7
CTNNB1	TCF7L2
CTNNB1	TCF7L1
CREBBP	MYB
STAT3	ESR1
CTNNB1	VEGFA
VEGFA	IGF1R
IGF1R	PRKACA
CREBBP	PPARGC1A
PPARGC1A	PPARA
CREBBP	ATF4
LEF1	TEAD1
LEF1	TEAD4
LEF1	TEAD3
LEF1	BIRC2
BIRC2	TRAF3
RXRA	PPARG
YAP1	WWTR1
CREBBP	STAT5A
CREBBP	STAT5B
CREBBP	CRTC2
CRTC2	AKT3
AKT3	IRF3
CREBBP	ATF2
CREBBP	STAT2
CREBBP	STAT4
CREBBP	STAT6
JUN	IFNG
PTGS2	ADCY5
ADCY5	RAPGEF3
RAPGEF3	MAPK8
ADCY5	PRKACA
PRKACA	CREBBP
MAPK8	TP53
PRKACA	NFKB1
PRKACA	MAPK1
MAPK1	STAT3
MAPK1	STAT1
PRKACA	CREB1
PRKACA	EP300
PTGS2	PLA2G4B
PLA2G4B	PRKCA
PRKCA	FOS
PRKACA	RELA
RAPGEF3	MAPK14
MAPK14	CEBPB
SMAD3	YAP1
SMAD3	E2F4
PRKACA	CTNNB1
PRKACA	PPARA
PPARA	RXRA
PRKACA	ATF4
PRKCA	MTOR
PRKACA	PTK2
PTK2	GRB2
GRB2	SOS1
GRB2	SOS2
SMAD3	WWTR1
CEBPA	E2F1
CEBPA	E2F2
CEBPA	E2F3
SMAD3	RBL1
RBL1	TFDP2
MAPK14	AKT3
PRKACA	ATF2
SMAD3	TFDP1
RARA	CCNA1
STAT3	CPT1A
CREB3L1	BDNF
CREB5	BDNF
ATF6B	ARC
ATF4	ARC
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI2	WNT2B
GLI2	WNT9B
GLI2	WNT5B
GLI2	WNT3A
GLI3	WNT16
GLI3	PTCH1
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
CLOCK	PER2
FOSB	NFKB1
JUN	RELA
MAPK14	CXCL1
CTNNB1	CCND2
ELK1	BIRC3
ELK1	XIAP
EGR3	FASLG
MAPK8	JUN
MAPK10	SMAD4
RELA	TNF
CREB3L2	IL8
CREBBP	FIGF
CREBBP	ANGPT4
CREBBP	PFKFB4
CREBBP	PGK1
CREBBP	BCL2
EP300	FIGF
EP300	ANGPT4
EP300	PFKFB4
EP300	PGK1
EP300	BCL2
HIF1A	FIGF
HIF1A	ANGPT4
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	BCL2
HIF1A	TFRC
HIF1A	VEGFC
ARNT	EDN1
ARNT	EGF
ARNT	GAPDH
ARNT	LDHA
ARNT	PFKFB1
ARNT	PFKL
ARNT	PGK1
ARNT	BCL2
ARNT	VEGFA
STAT3	HIF1A
YAP1	ID1
YAP1	ID3
YAP1	AREGB
YAP1	AXIN2
WWTR1	BIRC5
WWTR1	AREG
SMAD2	SERPINE1
TCF7	SNAI2
TCF7L2	SOX2
TEAD1	GLI2
TEAD1	CCND2
TEAD4	AXIN1
TEAD3	BIRC5
TP73	BBC3
TEAD2	CTGF
TEAD2	AXIN2
FOXO1	FBP2
STAT1	SOCS5
STAT4	CCND3
STAT5A	MYC
STAT5B	CCND2
STAT6	SOCS7
HNF1A	HNF4G
MITF	TYRP1
LEF1	MITF
MAPK1	CCND1
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
EPAS1	PDGFB
EPAS1	TGFB1
EPAS1	TGFB2
ETS1	MMP1
FOS	VEGFB
JUN	FIGF
MYC	CDK4
MYC	CKS1B
NFKB2	TRAF2
RELA	NOS2
RELA	CCND1
CREB3	BCL2
ATF4	BCL2
CREB3L1	MCL1
PPARA	CYP7A1
PPARA	ACSL3
PPARA	ACSL4
PPARA	LPL
PPARD	ACADL
PPARD	UCP1
PPARG	CYP27A1
PPARG	ACSL6
PPARG	GK
PPARG	PLIN1
RXRA	CYP27A1
RXRA	ACSL3
RXRA	ACSBG2
RXRA	ACOX2
RXRA	CD36
RXRB	ACADM
RXRB	APOC3
RXRB	ME1
RXRG	EHHADH
IRF7	IFNA8
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MYD88	IFNA6
MYD88	IFNA10
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFKB1	CEBPB
NFKB1	IL23A
NFYA	LOC100509457
NFYA	HLA-DQA1
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
NFYC	HLA-DQA2
MAPK1	IL12A
MAPK1	IL12B
MAPK3	IL18
MAPK11	IL12B
MAPK11	IL18
MAPK11	NOS2
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	IL12B
MAPK10	IL18
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFX5	HLA-DOA
RFX5	HLA-DOB
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB5
TCF7L1	PPARD
TCF7L1	FOSL1
CEBPA	TWF2
CEBPA	TSC22D3
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
MYB	TSC22D3
MYBL1	TSC22D3
SP3	ABCA1
SP1	ADA
NFIC	ARG1
SP1	CAV1
TP53	CAV1
SP1	CD14
SP1	CD9
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
SP3	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
REL	CSF2
USF2	CTSB
SP1	CTSL
JUN	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
REL	EGFR
SP1	EGFR
TFAP2A	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
ERG	HMOX1
TFAP2A	HMOX1
USF1	HMOX1
USF2	HMOX1
SP1	HRAS
ATF1	ID2
STAT3	IL2RA
CEBPB	IL4
TP53	IL8
CEBPA	ITGA2
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
ETS1	MMP3
ETV4	MMP3
FOS	MMP3
NFKB1	MMP3
JUN	MMP7
ETV4	MMP9
SPI1	NFKB1
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
CREM	PLAT
TFAP2A	POLD2
USF2	PTGS2
EGR1	PTP4A1
USF1	PTPN6
RARG	S100A9
PPARD	SERPINE1
POU2F1	SFTPA1
CREB1	SLC9A1
EGR1	SOD1
TFAP2A	TAF7
ATF1	TG
CREM	TH
TFAP2A	TH
EGR1	THBS1
ATF1	TNF
ETS1	TNNC1
SMAD3	TNNC1
SP3	TNPO1
TFAP2A	TNPO1
CREB1	TRH
PAX1	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
POU2F1	VWF
