HNMT	MAOA
CEBPB	ABCB1
CREB1	ADRB2
SP1	CAV1
TP53	CAV1
ELK1	CCT8
SP1	CD14
SP3	CD14
EGR1	CD44
TFAP2A	CDKN1A
SP2	CEACAM1
USF1	CEACAM1
USF2	CEACAM6
ATF1	CGA
ATF2	CGA
REL	CSF2
ETS1	DNTT
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
CEBPA	GPX4
CREM	GPX4
POU5F1	HMGB2
CREB1	HMOX1
STAT5A	IFNG
REL	IL2RA
CEBPB	IL4
TP53	IL8
STAT3	IRF1
CEBPA	ITGA2
SPI1	ITGB2
ETV4	MMP9
FLI1	MMP9
SMAD3	MMP9
SP1	MMP9
BCL6	NFKB1
CEBPB	NFKB1
SPI1	NFKB1
BCL3	NFKB2
CREM	PLAT
EGR1	PLAU
ETS2	PLAU
USF1	PTPN6
RARB	S100A9
RARG	S100A9
CEBPA	SERPINC1
PPARA	SERPINE1
PPARD	SERPINE1
EGR1	SOD1
SP1	TAF7
TFAP2A	TAF7
POU2F1	TFPI2
JUN	TFRC
ATF1	TG
EGR1	THBS1
CEBPA	TK1
ATF1	TNF
POU2F1	TNF
ERG	TNNC1
ETS1	TNNC1
TFAP2A	TNPO1
SP1	TPI1
CREB1	TRH
USF2	TYMS
HIF1A	VHL
PAX1	VHL
