PDE3A	ADCY1
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	CYP27A1
RXRG	DBI
RXRG	APOA1
RXRG	APOA2
RXRG	PCK1
RXRG	PCK2
RXRG	ACSBG2
RXRG	ACOX2
RXRG	CD36
EGR1	CCL5
MAX	CDK6
MAX	CCND1
SMAD5	ID2
SMAD5	ID3
FOS	IL6
FOS	IL12A
FOS	TNF
FOS	CCL4L1
IRF5	IL6
IRF5	IL8
IRF7	IFNA1
IRF7	IFNA2
JUN	CCL4
JUN	CCL5
RELA	CCL3
RELA	CCL3L1
CREB1	HLA-DMB
CREB1	HLA-DOA
NFYA	LOC100509457
NFYA	LOC101060835
NFYA	HLA-DQA2
NFYB	HLA-DOB
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DRA
NFYC	HLA-DRB1
NFYC	HLA-DRB3
MAPK11	IL12B
MAPK11	TNF
RFX5	HLA-DRB4
RFX5	HLA-DRB5
TCF7L1	JUN
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
USF1	APEX1
EGR1	APOA1
SP3	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
ATF2	APOC3
SP1	CD44
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP1	CEACAM5
USF1	CEACAM5
ETS1	COX4I1
RARA	CRABP2
RARB	CRABP2
POU2F2	HLA-DRA
ATF2	HLA-E
NFKB1	HMOX1
USF1	HMOX1
USF2	HMOX1
NFKB1	ICAM1
RELA	ICAM1
POU2F2	IL2
STAT5B	IL2RA
CREB1	JUN
EGR1	JUN
ERG	JUN
ESR2	JUN
ETS2	JUN
SMAD4	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
ETS1	LCK
ATF1	LDHA
SP3	LHB
ETS1	LYZ
JUN	MAT2A
MYB	MAT2A
SP1	MAT2A
SP2	MAT2A
JUN	MGP
RARB	MIF
CEBPA	MMP2
E2F4	POLA
MYB	POLA
NFIC	POLA
TFAP2A	POLA
JUN	POLD2
NFIC	POLD2
EGR1	RELA
PPARD	RELA
CREB1	REN
RELA	S100A6
TP53	S100B
SPI1	SCARB1
PPARG	SERPINE1
SMAD2	SP1
USF1	SP1
ETS1	SPP1
JUN	SPP1
CEBPA	TF
JUN	TFF1
CREB1	TG
ETS1	TIMP1
ETV4	TIMP1
JUNB	TIMP1
SMAD4	TIMP1
ATF2	TNF
EGR1	TNF
FLI1	TNNC1
EGR1	TP53
FOS	TP53
NFIC	TP53
PAX5	TP53
STAT3	TRH
SP1	TTR
TFAP2A	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
