NR3C2	KRAS
UGDH	GYS1
GYS1	OGT
OGT	FOXO1
FOXO1	RBL2
RBL2	E2F4
SRD5A1	AKR1C2
AKR1C2	CHRNA7
UGT2B11	CYP2E1
OGT	AKT3
AKT3	NFKB1
AKT3	RELA
AKT3	JUN
OGT	NR1H3
NR1H3	RXRA
OGT	GSK3B
GSK3B	CTNNB1
SRD5A2	UGT2B11
SRD5A2	AKR1C2
SRD5A3	UGT2B11
SRD5A3	AKR1C2
CACNG1	RASGRP3
RASGRP3	HRAS
HRAS	MAPK1
HRAS	RAF1
HRAS	PLCE1
HRAS	PIK3R5
RASGRP3	RAP1A
RAP1A	PRKD1
PRKD1	ATF1
HRAS	FOS
CACNA2D1	RASGRP3
CACNA2D2	RASGRP3
CACNA2D3	RASGRP3
CACNA1C	INS
INS	MAPK1
CACNA1C	CALML6
CALML6	CAMK2A
CAMK2A	CREBBP
CAMK2A	CREB1
CREBBP	MYB
MAPK1	NFKB1
MAPK1	RELA
CALML6	HRAS
CALML6	ADCY1
ADCY1	PRKACA
INS	NR1H3
INS	KIT
KIT	STAT3
CREBBP	LEF1
CAMK2A	ATF1
CREBBP	TCF7
CREBBP	TCF7L2
CREBBP	TCF7L1
INS	PIK3R5
CACNA1D	INS
CACNA1D	CALML6
CACNA1F	RASGRP3
CACNA1F	PLCD3
PLCD3	PRKCA
PLCD3	PIK3R5
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
PRKCA	MTOR
MTOR	HIF1A
CACNA1G	INS
CACNA1G	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1H	CALML6
CREBBP	RXRA
CACNA1H	PLCD3
CACNA1I	NOS1
CACNA1I	CALML6
CACNA1I	PLCD3
GLI2	WNT6
EP300	PFKFB1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
ARNT	TF
ARNT	HKDC1
YAP1	FGF1
SMAD4	CTGF
LEF1	MITF
NFKB1	IL1B
NFKB1	PLAU
NFKB2	TNFSF13B
RELB	ICAM1
PIK3CA	AKT3
PIK3CG	PDPK1
PIK3R3	PDPK1
EPAS1	PDGFB
ETS1	MMP1
FOS	PGF
NFKB2	TRAF2
CREB3	BCL2
CREB3L2	BCL2
PPARA	CYP7A1
PPARA	LPL
PPARD	ANGPTL4
PPARG	CYP27A1
PPARG	PLIN1
RXRA	FABP1
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFKB1	CEBPB
NFKB1	IL23A
NFYB	HLA-DPA1
MAPK1	IL1A
MAPK1	IL1B
MAPK3	NOS2
MAPK3	IL23A
MAPK8	IL18
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL1B
MAPK9	IL6
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
MAPK10	IL6
MAPK10	IL12A
MAPK10	IL12B
MAPK10	IL18
MAPK12	IL1A
NFATC2	PTGS2
NFATC3	PTGS2
NFATC4	PTGS2
LEF1	JUN
LEF1	MMP7
POU2F2	REL
SP3	ABCA1
TP53	CAV1
SP2	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
SP1	CD9
SP1	CDKN1A
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
USF1	CTSB
CEBPB	F8
NFKB1	F8
AR	F9
CEBPA	F9
NFKB1	FBP1
ETV4	MMP2
JUN	TNNC1
ETS1	VWF
ETS2	VWF
NFIC	VWF
