COMT	MAOA
CREB1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
STAT5A	EGFR
STAT5B	EGFR
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
PPARG	GADD45A
RARA	GADD45A
E2F1	HIST1H2AM
ETS1	HPGD
NFIC	HRAS
E2F4	HSP90B1
TFAP2A	HSPA1A
ESR1	HSPB1
CEBPA	ICAM1
CREB1	ICAM1
CREM	ICAM1
REL	IL2RA
RELA	IL2RA
STAT4	IL2RA
ATF1	JUN
ETS2	JUN
TFAP2A	KRT14
ATF1	LDHA
POU2F1	LPL
SP2	MAT2A
PPARA	MMP9
SPI1	NFKB1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
ETV4	PTGS2
REL	PTGS2
USF1	PTGS2
USF1	PTPN6
USF2	PTPN6
CREB1	REN
RARA	S100A8
RARB	S100A8
JUN	SERPINB2
CEBPA	SERPINC1
PPARA	SERPINE1
PPARG	SERPINE1
SP1	SERPINE1
EGR1	SOD1
SP1	SOD1
ETS1	SPP1
POU2F1	SPP1
POU2F2	SPP1
NFIC	TFPI2
POU2F1	TFPI2
JUN	TFRC
CREB1	TG
PAX8	TG
EGR1	THBS1
USF1	THBS1
JUNB	TIMP1
STAT1	TIMP1
STAT3	TIMP1
ETS1	TNF
POU2F1	TNF
ERG	TNNC1
FLI1	TNNC1
JUN	TNNC1
TFAP2A	TNPO1
E2F4	TOP1
NFIC	TP53
STAT1	TP53
TP53	TP53
TP53	TYMS
USF2	TYMS
HIF1A	VHL
TFAP2A	VHL
ERG	VIM
