NR3C2	KRAS
PLCD3	PIK3R5
PLCD3	PRKCA
CACNA1S	RASGRP3
CACNA1S	PLCD3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
CACNA1B	RASGRP3
INS	IGF1R
IGF1R	PRKACA
CACNA1A	PRKCA
CACNA1G	INS
CACNA1G	CALML6
CACNA1H	NOS1
NOS1	MAPK1
CACNA1H	CALML6
CACNA1H	PLCD3
CREBBP	RXRA
CACNA1I	NOS1
CACNA1I	CALML6
CACNA1I	PLCD3
TFDP2	CCNE2
TP53	CDKN1A
NPAS2	RORA
NPAS2	RORB
NPAS2	RORC
NPAS2	BHLHE41
NPAS2	BHLHE40
NPAS2	PER3
NPAS2	NR1D1
CLOCK	CRY1
CLOCK	CRY2
CLOCK	PER1
CLOCK	RORA
CLOCK	RORB
TCF7	MYC
TCF7L2	BIRC5
TCF7L2	CCND1
TCF7L1	CCND1
MAPK14	IL8
RBPJL	FGR
RBPJ	FGR
TP53	MDM2
SMAD2	CTGF
SOS1	SPRY1
SOS1	SPRED1
SOS1	MYC
MITF	TYRP1
VDR	SLC34A2
EPAS1	TGFA
FOS	MMP1
MAX	CKS2
NFKB1	TRAF4
NFKB2	TRAF4
RELA	MYB
PPARA	ACSL1
PPARD	LPL
PPARG	ACSBG1
RXRA	EHHADH
NFYC	HLA-DMA
NFYC	HLA-DQA2
EGR2	ABCB1
ETS1	ABCB1
JUN	ABCB1
NFKB1	ABCB1
TP53	ABCB1
ATF1	AQP3
CREB1	ARG1
SP2	CD14
USF1	CTSB
SPI1	NFKB1
TAL1	NFKB1
CREB1	ODC1
SP1	ODC1
WT1	ODC1
CEBPA	PCK2
NFIC	PCK2
E2F4	PCNA
TP53	PCNA
EGR1	PDGFB
ELK1	PDGFB
NFKB1	PDGFB
SP1	PDGFB
SP3	PDGFB
POU2F1	PLAU
SP1	PLAU
TP53	PLK1
E2F1	POLA
E2F4	POLE2
CEBPD	PTGS2
RARB	PTGS2
TFAP2A	PTGS2
