CES1	UGT2B11
CREB3L1	MCL1
PPARA	DBI
PPARA	FABP1
PPARA	ACOX2
PPARD	CPT1A
PPARD	PDPK1
PPARD	UCP1
PPARG	ACSL1
PPARG	ACSL4
RXRA	CPT1C
RXRA	CYP4A11
RXRA	FABP3
RXRA	ACSL3
RXRA	ME1
RXRA	OLR1
RXRA	PCK1
RXRA	ANGPTL4
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA16
MYD88	IFNA17
MYD88	IFNA21
MYD88	IFNB1
NFYC	HLA-DQA2
MAPK8	IL1B
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
RFX5	LOC100507709
RFX5	HLA-DQA1
RFX5	HLA-DQA2
MAPK12	IL6
MYB	TSC22D3
MYBL1	TSC22D3
NFKB1	REL
POU2F1	REL
SP1	COL4A2
USF1	ABCA1
CREB1	ADRB2
JUN	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
TP53	CAV1
SP1	CD9
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
SP3	CTSB
JUN	CYP11A1
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
TP53	EGFR
ATF1	ERBB2
USF1	FBP1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
TFAP2A	GH2
USF1	GH2
USF2	GH2
NFIC	GOT1
E2F1	HIST1H2AM
SP1	HRAS
CREB1	IFNG
STAT4	IFNG
CEBPA	IGF2
FLI1	IGFBP3
CEBPB	IL1A
CREB1	IL1B
CREB1	IL2
ETS2	IL2
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTPN6
CEBPA	SERPINC1
PPARA	SERPINE1
PPARG	SERPINE1
USF2	SERPINE1
SP1	SOD1
POU2F1	TFPI2
JUN	TFRC
CREB1	TG
ATF1	TH
USF1	THBS1
POU2F1	TNF
ERG	TNNC1
FLI1	TNNC1
NFKB1	TNNC1
E2F4	TOP1
USF2	TYMS
HIF1A	VHL
TFAP2A	VHL
ETV4	VIM
