SLC12A2	PRKACA
TP53	CDKN1B
CREB5	PCNA
CREBBP	EGF
CREBBP	ENO2
CREBBP	EPO
CREBBP	FIGF
CREBBP	HMOX1
CREBBP	LDHA
CREBBP	NPPA
CREBBP	ANGPT4
CREBBP	PDK1
CREBBP	PFKL
CREBBP	BCL2
CREBBP	TF
CREBBP	HKDC1
EP300	EGF
EP300	ENO2
EP300	EPO
EP300	FIGF
EP300	HMOX1
EP300	LDHA
EP300	NPPA
EP300	ANGPT4
EP300	PDK1
EP300	PFKL
EP300	BCL2
EP300	TF
EP300	HKDC1
HIF1A	EGF
HIF1A	ENO2
HIF1A	EPO
HIF1A	FIGF
HIF1A	HMOX1
HIF1A	LDHA
HIF1A	NPPA
HIF1A	ANGPT4
HIF1A	PDK1
HIF1A	PFKFB4
HIF1A	PFKL
HIF1A	PGF
HIF1A	BCL2
HIF1A	TFRC
ARNT	EGF
ARNT	EPO
ARNT	GAPDH
ARNT	LDHA
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
ARNT	BCL2
ARNT	TF
ARNT	VEGFA
ARNT	HKDC1
STAT3	HIF1A
YAP1	FGF1
YAP1	ID1
YAP1	MYC
YAP1	AREGB
WWTR1	CTGF
WWTR1	BIRC5
SMAD1	ID2
SMAD2	SERPINE1
SMAD4	CTGF
LEF1	SNAI2
LEF1	SOX2
LEF1	AXIN1
LEF1	CCND2
TCF7	AXIN2
TCF7	CCND3
TCF7L2	NKD1
TEAD1	CCND1
TEAD4	CCND2
TEAD3	SOX2
TCF7L1	SOX2
TEAD2	BIRC5
FOXO1	G6PC2
SOS1	SPRY3
STAT2	CCND2
STAT4	CCND3
STAT5B	CCND2
HNF1A	HNF4G
VDR	ATP2B1
VDR	S100G
NFKB1	CXCL2
NFKB1	NFKB2
NFKB1	NFKBIA
NFKB1	CCL4
NFKB1	TNFAIP3
NFKB1	CFLAR
NFKB1	CCL4L1
NFKB2	CCL21
RELA	NFKB2
RELA	PTGS2
RELA	TRAF1
RELA	VCAM1
RELB	TNFSF13B
RELB	CCL19
PIK3R5	AKT1
PIK3R5	AKT2
PIK3R5	PDPK1
PIK3CB	PDPK1
PIK3CD	AKT3
PIK3CD	PDPK1
PIK3CG	AKT1
PIK3CG	AKT2
PIK3R1	PDPK1
PLCG2	EGFR
PIK3R3	AKT1
PIK3R3	AKT2
RBPJ	HES1
BBC3	TP53
TP53	SESN3
TP53	GTSE1
TP53	BAI1
NFKB1	FIGF
NFKB1	PGF
NFKB1	VEGFB
NFKB1	VEGFC
STAT3	VEGFB
EPAS1	SLC2A1
EPAS1	TGFB1
ETS1	FIGF
ETS1	IL8
ETS1	MMP2
ETS1	VEGFA
FOS	FIGF
FOS	VEGFB
HIF1A	PDGFB
AR	KLK3
JUN	VEGFC
MYC	CDK4
MYC	VEGFB
MYC	VEGFC
NFKB1	NOS2
NFKB2	CCND1
NFKB2	TRAF1
NFKB2	TRAF6
NFKB2	BIRC7
RELA	NOS2
IRF1	IL12B
CREB3	MCL1
CREB1	MCL1
FOXO3	BCL2L11
FOXO3	CDKN1B
FOXO3	G6PC
ATF4	MCL1
CREB3L1	MCL1
PPARA	SLC27A4
PPARA	CYP4A11
PPARA	EHHADH
PPARA	FABP1
PPARA	ACSL3
PPARA	APOC3
PPARA	SLC27A1
PPARA	ME1
PPARA	SCD5
PPARA	ACSBG2
PPARA	ACOX2
PPARD	FABP3
PPARD	UCP1
PPARG	SLC27A4
PPARG	CPT1B
PPARG	ACSL3
PPARG	ACSL4
PPARG	ACSL6
PPARG	ANGPTL4
PPARG	ACSL5
PPARG	SCD
RXRA	SLC27A4
RXRA	APOA5
RXRA	CPT1C
RXRA	CYP8B1
RXRA	ACSL3
RXRB	ME1
RXRB	PDPK1
RXRG	EHHADH
RXRG	FABP4
IRF7	IFNA8
IRF7	IFNA10
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
MYD88	IFNA6
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
NFYA	HLA-DQA1
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYA	HLA-DRB1
NFYA	HLA-DRB4
NFYA	HLA-DRB5
NFYA	CD74
NFYB	LOC100507709
NFYB	LOC100507714
NFYB	LOC100509457
NFYB	HLA-DQB1
NFYB	HLA-DRA
NFYB	HLA-DRB1
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
NFYC	HLA-DQA1
NFYC	HLA-DQA2
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
NFYC	HLA-DRB3
MAPK1	IL6
MAPK8	IL6
MAPK8	IL12A
MAPK8	IL12B
MAPK8	IL18
MAPK11	IL12B
MAPK11	IL18
MAPK11	NOS2
MAPK9	IL12A
MAPK9	IL12B
MAPK9	TNF
MAPK10	IL6
RFX5	HLA-DOA
RFX5	HLA-DOB
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
MAPK12	IL6
POU2F2	REL
PPARG	SAT1
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
EGR1	APOA1
SP3	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
USF2	CALCA
E2F4	CAV1
SP1	CAV1
MYC	CCNB1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP1	CCND1
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
NFKB1	CD83
SP1	CD83
SP3	CD83
EGR1	CD9
SP1	CD9
SP1	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
TFAP2A	COL1A1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
SP1	DKC1
SP3	DKC1
REL	EGFR
ETV4	ERBB2
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
USF2	FBP1
EGR1	FCER2
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
E2F1	HIST1H2AM
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
NFIC	HRAS
CREB1	ICAM1
CREM	ICAM1
REL	IL2
REL	IL2RA
CEBPB	IL4
TP53	IL8
ATF2	INS
CEBPA	ITGA2
SP1	ITGA2
RARG	MIF
CEBPA	MMP11
BCL6	NFKB1
SPI1	NFKB1
TFAP2A	NRAS
CREM	PLAT
JUN	PLAT
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
USF1	PTPN6
E2F4	RBL1
CREB1	REN
USF1	S100A6
RARB	S100A8
RARA	S100A9
RARG	S100A9
SP1	SERPINB2
CEBPA	SERPINC1
ESR2	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
NFIC	SFTPC
EGR1	SOD1
ESR1	SP1
ETS1	SPP1
LEF1	SPP1
POU2F2	SPP1
NFIC	STMN1
TFAP2A	TAF7
NFKB1	TFPI2
POU2F1	TFPI2
ETS1	TFRC
ATF1	TG
CREB1	TG
HOXA4	TH
EGR1	THBS1
WT1	THBS1
JUNB	TIMP1
SP1	TIMP1
STAT3	TIMP1
E2F4	TK1
ATF1	TNF
ETV4	TNF
POU2F1	TNF
REL	TNFSF10
ETS1	TNNC1
FLI1	TNNC1
SMAD4	TNNC1
TFAP2A	TNPO1
USF2	TOP3A
NFIC	TP53
PAX8	TP53
TP53	TP53
WT1	TP53
CREB1	TRH
USF1	TYMS
USF2	TYMS
FLI1	UPP1
PAX1	VHL
TFAP2A	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
POU2F1	VWF
