SLC12A2	PRKACA
ARNT	TF
ARNT	TIMP1
ARNT	HKDC1
RELA	HIF1A
YAP1	FGF1
YAP1	GLI2
YAP1	MYC
YAP1	CCND1
WWTR1	CTGF
WWTR1	FGF1
SMAD1	ID2
SMAD1	ID4
SMAD4	CTGF
SMAD4	ID2
SMAD4	ID3
SMAD4	ID4
SMAD4	SERPINE1
TCF7	CCND2
TCF7L2	CCND3
TEAD1	SOX2
TEAD4	MYC
TEAD3	CTGF
TEAD3	AXIN2
TCF7L1	AXIN2
TEAD2	CCND1
SMAD4	SLC2A1
FOXO1	PCK1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND3
STAT4	SOCS5
STAT5B	CCND2
STAT5B	SOCS3
PAX6	GCK
PAX6	PDX1
HNF1A	HNF4G
CREB1	MITF
MITF	TYRP1
NFKB2	CXCL12
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	AKT1
PIK3R1	AKT2
PIK3R1	PDPK1
PIK3R2	AKT3
PIK3R2	AKT1
EPAS1	TGFB1
HIF1A	TGFB1
MYC	CDK4
RELA	NOS2
CREB1	BCL2
PPARA	ACSL3
PPARA	ACOX1
PPARG	ACSL6
PPARG	UCP1
RXRA	ACADL
RXRA	ME1
RXRA	MMP1
RXRA	OLR1
RXRA	PCK1
RXRA	PCK2
RXRA	ANGPTL4
RXRB	ILK
MYD88	IFNA6
MYD88	IFNA8
MYD88	IFNA13
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA21
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	IL12B
MAPK8	IL18
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RELA	IL23A
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
RFXAP	HLA-DRB5
MAPK12	IL1A
MYB	TSC22D3
MYBL1	TSC22D3
SP1	CDK1
SP1	CDKN1C
SP1	COL4A2
SPI1	REL
SPI1	CXCR2
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
SP3	ABCA1
USF1	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
LEF1	ADA
NFIC	ADA
SP1	ADA
CREB1	ADRB2
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
TP53	CAV1
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP2	CD14
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
REL	CSF2
PPARA	CYP1A1
SP1	CYP1A1
SP3	CYP1A1
USF1	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
E2F4	DHFR
ETS1	DNTT
STAT1	EGFR
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	F3
JUND	F3
USF1	FBP1
PAX5	FCER2
CEBPA	FN1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
E2F1	HIST1H2AM
CREB1	HMOX1
ERG	HMOX1
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
EGR1	PLAU
ETS2	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF2	PTGS2
EGR1	PTP4A1
USF1	PTPN6
MYBL2	RBL1
SP1	RPL10
USF1	S100A6
RARA	S100A8
RARA	S100A9
RARG	S100A9
SPI1	SCARB2
EPAS1	SERPINE1
PPARD	SERPINE1
POU2F1	SFTPA1
CREB1	SLC9A1
EGR1	SOD1
MYBL2	SP1
ETS2	SPP1
LEF1	SPP1
POU2F1	SPP1
NFIC	STMN1
TFAP2A	TAF7
EGR1	TFPI2
ATF1	TFRC
ATF1	TG
CREM	TH
TFAP2A	TH
EGR1	THBS1
CREB1	TIMP1
JUND	TIMP1
SP1	TIMP1
STAT1	TIMP1
E2F4	TK1
ATF1	TNF
EGR4	TNF
SP3	TNF
ETS1	TNNC1
SMAD3	TNNC1
SP3	TNPO1
TFAP2A	TNPO1
MYC	TP53
NFKB1	TP53
PAX8	TP53
STAT1	TP53
WT1	TP53
CREB1	TRH
JUN	TXN
ESR1	UBE2L3
PAX1	VHL
