ATP1A1	SLC8A1
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
MAPK12	IL1A
RFXANK	HLA-DOB
RFXANK	HLA-DPA1
RFXANK	HLA-DPB1
RFXANK	HLA-DQA1
NFAT5	PTGS2
USF2	ABCA1
CEBPA	ABCB1
CEBPB	ABCB1
SP1	ADA
USF2	B2M
USF2	CALCA
TFDP1	CAV1
E2F4	CAV1
CREM	CCND1
ESR1	CCND1
POU2F1	CCND1
SP2	CD14
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM6
ATF2	CGA
TFAP2A	COL1A1
EGR1	COL2A1
SP3	COL2A1
USF2	CTSB
SP1	CTSL
SP3	CTSL
STAT1	EGFR
PAX5	FCER2
CEBPA	FN1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
SP1	GJA1
NFIC	GOT1
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
CREB1	HMOX1
TFAP2A	HMOX1
CEBPB	HP
SP1	IL2
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
PAX6	PDHX
JUN	PENK
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
TFAP2A	POLD2
NFIC	POLE2
CREB1	PTGS2
ETV4	PTGS2
PPARG	PTGS2
REL	PTGS2
USF1	PTGS2
MYC	PTMA
E2F4	RBL1
RARB	S100A9
JUN	SERPINB2
PPARD	SERPINE1
NFIC	SFTPC
ESR1	SP1
SP1	TAF7
NFIC	TFPI2
ATF1	TG
HOXA4	TH
WT1	THBS1
CEBPA	TK1
ETS1	TNF
ETS1	TNNC1
SMAD4	TNNC1
USF2	TOP3A
SP1	TPI1
TP53	TYMS
PAX1	VHL
