PDE3A	ADCY1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
EGR1	COL2A1
SP3	COL2A1
USF2	CTSB
SP1	CTSL
ETS1	DNTT
STAT1	EGFR
JUN	F3
JUND	F3
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
RELA	IL2
REL	IL2RA
ETV4	MMP9
TP53	NME1
FOS	NQO1
RELA	NR4A1
JUN	NRAS
TFAP2A	NRAS
EGR1	PLAU
ETS2	PLAU
ATF1	PLAUR
SP2	PLP1
TFAP2A	POLD2
NFIC	POLE2
ETV4	PTGS2
USF1	PTPN6
RARA	S100A8
PPARD	SERPINE1
EGR1	SOD1
POU2F1	SPP1
ATF1	TG
EGR1	THBS1
STAT1	TIMP1
ETS1	TNNC1
TFAP2A	TNPO1
STAT1	TP53
PAX1	VHL
