ADORA1	GNAI1
MAPK10	JUN
MAPK10	SMAD4
CREBBP	PFKFB3
CREBBP	PFKFB4
EP300	PFKFB3
EP300	PFKFB4
HIF1A	PFKFB3
HIF1A	PGK1
ARNT	EDN1
ARNT	FLT1
ARNT	SERPINE1
ARNT	PDK1
ARNT	PFKFB2
YAP1	BIRC2
YAP1	ID3
YAP1	SNAI2
YAP1	AXIN2
WWTR1	BBC3
WWTR1	AREG
TEAD4	AXIN1
SOS1	SPRY2
SOS1	MYC
STAT4	CCND1
STAT5B	MYC
PAX6	PDX1
RELA	CCL4
RELB	CXCL12
PIK3R2	PDPK1
MYD88	IFNA10
NFKB1	IL18
MAPK10	NOS2
MAPK10	IL23A
MAPK10	TNF
MAPK13	IL1A
MAPK13	IL1B
MAPK13	IL6
MAPK13	IL12A
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
RFXAP	HLA-DOA
NFKB1	REL
POU2F1	REL
SP1	ADA
CREB1	ADRB2
CREB1	AQP3
CREB1	ARG1
SP3	CD14
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM6
ATF1	CGA
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
SP1	DKC1
SP3	DKC1
JUN	F3
JUND	F3
TP53	MMP2
ETS1	MMP3
ETV4	MMP3
JUN	MMP7
ERG	MMP9
CEBPA	PCK2
E2F4	PCNA
SP3	PDGFB
SP1	PLAU
TP53	PLK1
TFAP2A	POLD2
USF2	PTGS2
JUN	SFTPA1
POU2F1	SFTPA1
CREB1	TH
CREM	TH
SMAD2	TNNC1
SMAD3	TNNC1
ERG	VWF
NFKB1	VWF
