NR3C2	KRAS
NGFR	IRAK1
IRAK1	IRF7
MAPK1	NFKB1
INS	NR1H3
MAPK1	RELA
CACNA1D	CALML6
CACNA1D	INS
CACNA1F	PLCD3
PLCD3	PRKCA
CACNA1F	RASGRP3
PLCD3	PIK3R5
CACNA1S	PLCD3
CACNA1S	RASGRP3
CACNB1	RASGRP3
CACNB2	RASGRP3
CACNB3	RASGRP3
CACNB4	RASGRP3
CACNA1B	INS
CACNA1B	RASGRP3
CACNA1A	PRKCA
MTOR	HIF1A
PRKCA	MAP3K1
CACNA1G	CALML6
CACNA1G	INS
CACNA1H	CALML6
CACNA1H	PLCD3
CACNA1H	NOS1
NOS1	MAPK1
CREBBP	RXRA
CACNA1I	CALML6
CACNA1I	PLCD3
CACNA1I	NOS1
ARNTL	PER3
ARNTL	PER2
NPAS2	CRY1
NPAS2	CRY2
VDR	CALB1
MAPK13	IL8
RELA	IL8
MAPK12	CXCL1
CREB3	IL8
ATF2	IL8
MAPK8	JUN
CREB3L1	IL8
CREBBP	CDKN1B
CREBBP	ANGPT4
CREBBP	VEGFA
EP300	CDKN1B
EP300	ANGPT4
EP300	VEGFA
HIF1A	CDKN1B
HIF1A	ANGPT4
SOS1	BCL2L1
EP300	MITF
PIK3CA	AKT2
RBPJ	HES5
TP53	BAX
MYC	MMP1
NFKB2	BIRC8
RELA	TRAF4
CREB3L2	MCL1
PPARA	ACAA1
PPARD	ACOX1
PPARG	LPL
RXRA	FABP4
RXRA	SCP2
RXRB	CYP7A1
RXRB	CYP8B1
RXRB	FABP4
RXRB	FABP1
RXRB	FABP3
RXRB	GK
RXRB	ACADL
RXRB	APOA2
RXRG	SLC27A4
RXRG	APOA5
RXRG	CPT2
RXRG	CYP4A11
RXRG	CYP7A1
RXRG	DBI
SMAD5	ID3
FOS	CCL4L1
IRF5	IL8
CREB1	HLA-DPB1
NFYC	LOC101060835
MAPK9	IL1A
RELA	IL1A
RELA	IL18
PPARG	SAT1
USF2	CALCA
E2F4	CAV1
RARA	CRABP2
RARB	CRABP2
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
NFKB1	HMOX1
ATF1	NTS
CREB1	NTS
JUN	NTS
JUND	NTS
NFIC	POLD2
TP53	PRKAB1
ETS1	PRL
ATF1	PTGS2
PPARD	RELA
SP1	RPL15
PPARD	SERPINE1
USF1	SP1
ETV4	SPP1
ATF1	TG
ETV4	TIMP1
SMAD3	TIMP1
ETS1	TNNC1
FOS	TP53
PAX2	TP53
PAX1	VHL
