HNMT	MAOA
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
CREB1	CYP11A1
JUN	CYP11A1
SP1	CYP17A1
SP3	CYP17A1
SP1	DKC1
SP3	DKC1
SP3	DNASE2
USF1	FBP1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
RELA	HDAC1
RELA	HDAC2
E2F1	HIST1H2AM
ETS1	HMOX1
FLI1	HMOX1
NFIC	HMOX1
SP1	HRAS
NFIC	HSPA1A
SP1	HSPA8
SP1	HSPB1
CREB1	IFNG
STAT4	IFNG
CEBPA	IGF2
FLI1	IGFBP3
CEBPB	IL1A
CREB1	IL1B
CREB1	IL2
ETS2	IL2
SP1	IL2
CEBPB	IL4
SMAD4	JUN
SP3	LHB
JUN	MGP
ETV4	MMP9
TFAP2A	PLAT
ETS1	PLAU
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
NFIC	POLE2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
ESR1	PTMA
USF1	PTPN6
USF2	PTPN6
CREB1	REN
PPARA	SERPINE1
PPARD	SERPINE1
PPARG	SERPINE1
ETS1	SLC26A3
EGR1	SOD1
SP1	SOD1
ETS1	SPP1
JUN	TFRC
ATF1	TG
CREB1	TG
HOXA5	TH
EGR1	THBS1
USF1	THBS1
JUNB	TIMP1
ERG	TNNC1
ETS1	TNNC1
FLI1	TNNC1
SP3	TNNC1
TFAP2A	TNPO1
E2F4	TOP1
NFIC	TP53
HIF1A	VHL
PAX1	VHL
TFAP2A	VHL
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
