PDE3A	ADCY1
PIK3CD	PDPK1
PIK3CG	AKT3
PIK3CG	AKT2
PIK3R1	AKT3
PIK3R2	AKT2
PLCG2	EGFR
PIK3R3	AKT3
PIK3R3	AKT2
RBPJL	PTCRA
TP53	CD82
NFKB1	VEGFA
NFKB1	VEGFB
RELA	FIGF
EPAS1	FIGF
FOS	IL8
JUN	MMP1
JUN	VEGFA
MAX	CKS1B
MYC	MMP2
MYC	VEGFB
NFKB1	TRAF3
NFKB1	TRAF6
NFKB2	BIRC2
NFKB2	NOS2
NFKB2	BCL2L1
NFKB2	TRAF5
ATF2	MCL1
FOXO3	BCL2L11
FOXO3	PCK2
NFKB1	MYB
CREB3L3	BCL2
CREB5	BCL2
PPARA	CPT2
PPARA	DBI
PPARA	ANGPTL4
PPARA	SCD5
PPARD	CPT1C
PPARD	ILK
PPARD	UBC
PPARG	NR1H3
PPARG	CPT1A
PPARG	ACSL1
PPARG	SCD5
RXRA	SLC27A4
RXRA	CPT2
RXRA	DBI
RXRA	ACSL1
RXRA	SCD5
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	EHHADH
RXRB	FABP4
RXRB	ACAA1
RXRB	SLC27A1
RXRB	LPL
RXRB	ME1
RXRB	ACOX1
RXRB	SCD
RXRB	CD36
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1B
RXRG	CPT2
MAPK8	IL8
SMAD2	PITX2
SMAD9	ID3
FOS	CCL3
IRF3	CD80
IRF5	CCL3
IRF7	IFNA7
CREB1	HLA-DOB
MYD88	IFNA8
NFYA	LOC100507714
NFYA	LOC100509457
NFYC	LOC100507714
NFYC	LOC100509457
NFYC	LOC101060835
MAPK11	IL12B
MAPK11	TNF
MAPK9	IL1A
MAPK9	IL12A
MAPK9	IL12B
RFX5	LOC100507714
RFX5	HLA-DQA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXANK	HLA-DQB1
RFXANK	HLA-DRA
RFXANK	HLA-DRB1
RFXANK	HLA-DRB3
RFXANK	HLA-DRB4
TCF7L1	JUN
HIF1A	HSP90B1
JUN	PLAUR
MYB	CDK1
JUN	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
E2F1	APAF1
TP53	APCS
SP1	APEX1
USF1	APEX1
NFIC	ARG1
CREB1	CCND1
SP2	CD14
SP1	CD44
ESR2	CD68
SPI1	CD68
POU2F1	CD79A
POU2F2	CD79A
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
RARB	CRABP2
STAT3	CSRP1
MYC	CSTB
SP1	CTGF
NFKB1	CTSB
RELA	CTSB
ESR1	GADD45B
PPARA	GADD45B
PPARD	GADD45B
PPARG	GADD45B
RARA	GADD45B
ATF1	GH2
CREB1	GH2
NFIC	GH2
POU2F2	HLA-DRA
ATF2	HLA-E
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
USF1	HMOX1
USF2	HMOX1
STAT5B	IL2RA
POU2F1	IL4
CEBPB	IL5
JUN	IL5
POU2F2	IL5
CEBPA	IL6
CREB1	IL6
NFIC	IL6
USF1	IL6
STAT3	IRF1
SPI1	ITGB2
CREB1	JUN
ERG	JUN
ESR2	JUN
SP1	KRT5
SP1	LCAT
ETS1	LCK
ETS1	LYZ
MYB	MAT2A
SP1	MAT2A
SMAD3	MMP9
SP1	MMP9
TAL1	NFKB1
ATF1	NTS
CREB1	NTS
JUN	NTS
JUND	NTS
E2F4	POLA
NFIC	POLA
TFAP2A	POLA
CREB1	POLD2
ETS1	PPP2R4
NFKB1	PPP2R4
ATF4	PTGS2
CEBPB	PTGS2
ESR1	PTMA
EGR1	RELA
PPARD	RELA
CREB1	REN
RELA	S100A6
TP53	S100B
RELA	SAA2
SPI1	SCARB1
PPARG	SERPINE1
USF2	SERPINE1
ETS1	SLC26A3
SMAD2	SP1
USF1	SP1
ETS1	SPP1
JUN	SPP1
CEBPA	TF
ESR1	TFF1
JUN	TFF1
CREB1	TG
ATF1	TH
HOXA5	TH
ETS1	TIMP1
ETV4	TIMP1
JUNB	TIMP1
SMAD4	TIMP1
ATF2	TNF
CEBPD	TNF
EGR1	TNF
FLI1	TNNC1
NFKB1	TNNC1
SP3	TNNC1
EGR1	TP53
FOS	TP53
NFIC	TP53
PAX5	TP53
STAT3	TRH
JUN	TSHB
SP1	TTR
TFAP2A	VHL
ETV4	VIM
ETS1	VWF
ETS2	VWF
NFIC	VWF
