AMY2A	IGF1R
HIF1A	CDKN1B
HIF1A	ENO1
HIF1A	ENO3
HIF1A	HK3
HIF1A	LTBR
HIF1A	TFRC
HIF1A	TIMP1
ARNT	CDKN1A
ARNT	CDKN1B
ARNT	ENO1
ARNT	ENO3
ARNT	HK3
ARNT	LTBR
ARNT	TFRC
ARNT	TIMP1
YAP1	BIRC5
YAP1	MYC
YAP1	CCND3
WWTR1	BIRC5
LEF1	CCND3
TCF7	CCND3
TCF7L2	CCND3
TEAD1	BIRC5
TEAD1	MYC
TEAD1	CCND3
TEAD4	BIRC5
TEAD4	MYC
TEAD4	CCND3
TEAD3	BIRC5
TEAD3	MYC
TEAD3	CCND3
TCF7L1	CCND3
SOS1	SPRY1
SOS1	MYC
SOS1	CCND3
SOS2	SPRY1
SOS2	MYC
SOS2	CCND3
STAT1	MYC
STAT1	CCND3
STAT2	MYC
STAT2	CCND3
STAT3	MYC
STAT3	CCND3
STAT4	MYC
STAT4	CCND3
STAT5A	MYC
STAT5A	CCND3
STAT5B	MYC
STAT5B	CCND3
STAT6	MYC
STAT6	CCND3
NFKB1	BCL2A1
NFKB1	CCL4
RELA	BCL2A1
RELA	CCL4
TP53	PTEN
TP53	BAX
TP53	PPM1D
NFKB1	TRAF4
NFKB2	TRAF4
RELA	TRAF4
PPARA	DBI
PPARA	ACADM
PPARA	SCP2
RXRA	DBI
RXRA	FABP3
RXRA	ACADM
RXRA	SCP2
RXRB	DBI
RXRB	FABP3
RXRB	ACADM
RXRB	SCP2
RXRG	DBI
RXRG	FABP3
RXRG	ACADM
RXRG	SCP2
FOS	CCL4
FOS	CCL5
JUN	CCL4
JUN	CCL5
SPI1	CD14
CREB1	HLA-DMB
NFKB1	CEBPB
NFKB1	CEBPG
RELA	CEBPB
RELA	CEBPG
LEF1	MMP7
TCF7	MMP7
TCF7L2	MMP7
TCF7L1	MMP7
CREB1	CD55
MYB	CDK1
SP1	CDK1
SP1	APEX1
ATF1	AQP3
CREB1	AQP3
ATF1	BRCA1
CREB1	BRCA1
SP1	CD14
SP3	CD14
E2F4	CDC45
E2F2	CDC45
E2F3	CDC45
E2F1	CDC45
E2F4	CDC6
E2F4	CDK1
ETS2	CDK1
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
PPARG	CDKN1A
SP1	CDKN1A
SP3	CDKN1A
STAT3	CDKN1A
TFAP2A	CDKN1A
TP53	CHEK1
ETS1	COX4I1
SP1	COX4I1
RARA	CRABP2
RARB	CRABP2
RARG	CRABP2
STAT3	CSRP1
MYC	DDX18
SP3	DNASE2
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
PPARA	GADD45A
PPARG	GADD45A
RARA	GADD45A
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
TP53	KLK3
TFAP2A	KRT14
SP1	KRT18
ETS1	LYZ
HIF1A	MDK
ERG	MMP3
ETS1	MMP3
ETS2	MMP3
ETV4	MMP3
FLI1	MMP3
FOS	MMP3
JUN	MMP3
NFKB1	MMP3
RELA	MMP3
JUN	MMP7
E2F4	MYC
MYC	MYC
CEBPE	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
RELA	MYC
SP1	MYC
TFAP2A	MYC
TP53	MYC
MYB	NCL
MYC	NME1
TP53	NME1
TP53	PLK1
ATF1	PPP2R4
ETS1	PPP2R4
NFKB1	PPP2R4
RARA	S100A8
RARB	S100A8
RARG	S100A8
RARA	S100A9
RARB	S100A9
RARG	S100A9
ATF1	TFRC
CREB1	TFRC
ETS1	TFRC
JUN	TFRC
CREB1	TIMP1
ETS1	TIMP1
ETV4	TIMP1
FOS	TIMP1
JUN	TIMP1
JUNB	TIMP1
JUND	TIMP1
SMAD3	TIMP1
SMAD4	TIMP1
SP1	TIMP1
STAT1	TIMP1
STAT3	TIMP1
TFAP2A	TIMP1
E2F4	TK1
CEBPA	TK1
CEBPA	UBE2L3
ESR1	UBE2L3
SP1	UBE2L3
FLI1	UPP1
ERG	VWF
ETS1	VWF
ETS2	VWF
NFIC	VWF
NFKB1	VWF
POU2F1	VWF
SMAD3	ZFP36
SMAD4	ZFP36
