SLC22A6	APP
ARNT	PFKFB2
ARNT	PFKL
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	BIRC2
YAP1	ID3
YAP1	CCND1
YAP1	SNAI2
YAP1	AXIN2
WWTR1	FGF1
WWTR1	BBC3
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
STAT4	CCND1
STAT5B	MYC
PAX6	GCK
CREB1	MITF
TCF7L2	MITF
RELA	PTGS2
RELB	CCL19
PIK3CB	AKT1
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	SESN3
EPAS1	TGFB1
HIF1A	TGFB1
MYC	CDK4
RXRA	ACADL
RXRA	OLR1
RXRA	ANGPTL4
MYD88	IFNA13
MAPK1	IL1A
MAPK11	IL6
MAPK9	NOS2
NFATC4	PTGS2
LEF1	FOSL1
TCF7	JUN
CREB1	TINAGL1
CREB1	CD55
SP1	REL
USF2	APOE
E2F4	CAV1
SP1	CAV1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
NFKB1	FN1
RELA	FN1
ESR2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
POU2F2	HLA-DRA
POU5F1	HMGB2
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
RELA	IL2
ESR1	JUN
ESR2	JUN
ETS2	JUN
JUN	JUN
BCL3	MYB
POU2F2	MYC
JUN	NFKB2
SP1	NFKB2
ETS1	PRL
CEBPD	PTGS2
NFIC	TFPI2
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
