HTR1B	MDFI
VHL	UBC
UBC	DAZAP2
DAZAP2	TCF7
UBE2I	TCF7L2
EP300	CTNNB1
CTNNB1	TCF7L1
EP300	SP3
HTR1D	HTR1B
HTR1D	S1PR1
S1PR1	WWP2
WWP2	SMAD2
SMAD2	RARB
S1PR1	TRIP6
TRIP6	AJUBA
AJUBA	RARG
WWP2	SMAD3
SMAD3	FOS
S1PR1	GNAI3
GNAI3	XPO1
XPO1	STAT1
SMAD3	MAPK1
S1PR1	PDGFRB
PDGFRB	ETV6
ETV6	FLI1
WWP2	PTCH1
PTCH1	ATF6B
SMAD3	IRF7
SMAD3	NFYC
XPO1	E2F4
PDGFRB	SHC1
SHC1	STAT5A
SHC1	STAT5B
SMAD3	CEBPB
SMAD3	SMAD4
SMAD3	FOXO1
TRIP6	STK16
STK16	ELK1
PDGFRB	IRF8
IRF8	IRF1
SMAD3	LEF1
WWP2	UBC
WWP2	SMAD7
SMAD7	TCF7L2
TRIP6	PYGO2
PYGO2	CTNNB1
HTR1A	S1PR1
AJUBA	RARA
GNAI3	YWHAQ
YWHAQ	E2F1
E2F1	NFKB1
TRIP6	UBE2C
UBE2C	RELA
TRIP6	CREB5
CREB5	JUN
SMAD3	CEBPA
SMAD3	HIF1A
TRIP6	SRC
SRC	CREBBP
SMAD3	EP300
YWHAQ	NCOA1
NCOA1	ARNT
HTR1A	HTR1D
SMAD7	MYC
YWHAQ	NCOA3
NCOA3	ETS1
SMAD3	EPAS1
YWHAQ	PSMA3
PSMA3	EGR1
GNAI3	GNB2
GNB2	STAT3
SMAD3	SP1
SMAD3	SKI
SKI	GLI2
GNAI3	RAP1GAP
RAP1GAP	FBXW11
FBXW11	GLI3
XPO1	PPARG
SRC	RXRA
AJUBA	RXRG
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
TRIP6	PTK2
PTK2	TP53
YWHAQ	SNCA
SNCA	MAPK3
NCOA1	PPARA
PDGFRB	VAV1
VAV1	SPI1
YWHAQ	YWHAE
YWHAE	MAPK14
SRC	HDAC3
TRIP6	P4HB
P4HB	VCP
VCP	MAPK13
YWHAQ	CDKN1A
CDKN1A	MAPK8
YWHAQ	MAP3K1
MAP3K1	MAPK9
YWHAQ	LDHA
LDHA	MAPK10
YWHAQ	ESR1
SMAD3	VDR
GNAI3	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
YWHAQ	SMURF1
SMURF1	MYD88
XPO1	ELAVL1
YWHAQ	CDC25A
CDC25A	NFYA
GNB2	TBP
TBP	NFYB
PPARG	RFX5
YWHAQ	NCL
YWHAQ	HDAC4
HDAC4	RFXANK
YWHAQ	HSPB1
HSPB1	STAT2
YWHAQ	TRIM28
YWHAQ	EEF1A1
EEF1A1	STAT6
GNAI3	OSBP
OSBP	CAND1
CAND1	NR3C2
SMURF1	NFIC
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
TRIP6	POM121
POM121	BRCA1
BRCA1	USF2
YWHAQ	HSPA8
YWHAQ	FOXO3
TBP	POU2F2
NCOA3	HNF1A
YWHAQ	YAP1
GNAI3	GNG5
GNG5	GOLGA2
ELAVL1	ELK4
SMAD7	SRF
TRIP6	RPS14
RPS14	TOP1
ESR1	SP3
RARA	CCNA1
STAT3	PIM1
STAT5A	PIM1
STAT5B	PIM1
ATF6B	BDNF
CREB3L4	CRH
CREB3L3	BDNF
CREB5	FOSB
NR3C2	ATP1B4
NR3C2	KRAS
NR3C2	ATP1A1
NR3C2	ATP1A2
NR3C2	ATP1A3
NR3C2	ATP1A4
NR3C2	ATP1B1
NR3C2	ATP1B2
NR3C2	ATP1B3
NR3C2	FXYD2
NR3C2	FXYD4
NR3C2	SCNN1A
NR3C2	SCNN1B
NR3C2	SCNN1G
NR3C2	SGK1
CREB3	ARC
CREB3	FOS
CREB3	PDYN
CREB1	ARC
CREB1	FOS
CREB1	PDYN
ATF2	ARC
ATF2	FOS
ATF2	PDYN
CREB3L1	ARC
CREB3L1	PDYN
CREB5	FOS
NFKB1	BIRC8
NFKB1	BIRC2
NFKB1	BCL2
NFKB1	BCL2L1
RELA	BIRC8
RELA	BCL2L1
GLI1	WNT16
GLI1	PTCH1
GLI1	BMP2
GLI1	BMP4
GLI1	WNT3
GLI1	WNT5A
GLI1	WNT7A
GLI1	WNT11
GLI1	WNT9A
GLI1	WNT10A
GLI1	PTCH2
GLI1	WNT3A
GLI2	WNT4
GLI2	PTCH1
GLI2	BMP2
ARNTL	PER3
ARNTL	PER2
NPAS2	CRY1
NPAS2	CRY2
LEF1	BIRC5
LEF1	CCND1
ELK1	BIRC2
ELK1	CCND2
JUN	CCND3
CREB3	IL8
ATF2	PCNA
CREB3L4	IL8
EP300	FASLG
IRF3	IFNB1
IRF7	IFNB1
MAPK8	SMAD4
RELA	MMP9
STAT1	MYD88
CREB3L3	PCNA
CREB3L1	IL8
CREBBP	EDN1
CREBBP	ENO3
CREBBP	FLT1
CREBBP	ANGPT1
CREBBP	ANGPT2
CREBBP	PDK1
CREBBP	PGF
CREBBP	TEK
CREBBP	TIMP1
CREBBP	VEGFA
EP300	EDN1
EP300	ENO3
EP300	FLT1
EP300	ANGPT1
EP300	ANGPT2
EP300	PDK1
EP300	PGF
EP300	TEK
EP300	TIMP1
EP300	VEGFA
HIF1A	EDN1
HIF1A	ENO3
HIF1A	FLT1
HIF1A	ANGPT1
HIF1A	ANGPT2
HIF1A	PDK1
ARNT	ENO3
ARNT	ALDOA
ARNT	TEK
ARNT	TFRC
ARNT	VEGFC
NFKB1	HIF1A
YAP1	AFP
YAP1	BBC3
YAP1	AREG
YAP1	SERPINE1
YAP1	CCND3
WWTR1	AFP
SMAD1	ID1
SMAD1	ID3
SMAD3	SERPINE1
SMAD4	ID1
LEF1	AXIN2
TEAD1	CTGF
TEAD1	BIRC2
TEAD1	SNAI2
TEAD1	NKD1
TEAD1	CCND3
TEAD4	BIRC5
TEAD4	SOX2
TEAD4	CCND3
TEAD3	BIRC2
TEAD3	MYC
TEAD3	AXIN1
TEAD3	CCND3
TCF7L1	AXIN1
TCF7L1	CCND3
TEAD2	MYC
TEAD2	AXIN1
TEAD2	NKD1
SMAD3	SLC2A1
SOS1	CCND1
SOS1	CCND2
SOS1	CCND3
SOS2	SPRY3
STAT2	SOCS7
STAT4	PIM1
STAT5A	SOCS7
STAT6	SOCS4
CREBBP	MITF
EP300	MITF
CREB3L3	MITF
VDR	TRPV6
NFKB1	CXCL2
NFKB1	GADD45B
NFKB1	NFKBIA
NFKB1	BCL2A1
NFKB1	TNFAIP3
NFKB1	VCAM1
NFKB1	CCL4L1
NFKB2	CCL13
RELA	GADD45B
RELA	NFKB2
RELA	BCL2A1
RELA	TRAF1
RELB	TNFSF13B
RELB	CCL21
PIK3R5	AKT1
PIK3R5	PDPK1
PIK3CB	AKT2
PIK3CD	AKT1
PIK3CD	PDPK1
PIK3CG	AKT2
PIK3R2	AKT2
PLCG2	EGFR
PIK3R3	AKT2
RBPJL	HES1
TP53	PIDD
TP53	RFWD2
TP53	SIAH1
RELA	FIGF
EPAS1	FIGF
FOS	IL8
FOS	MMP2
MYC	MMP1
MYC	MMP2
NFKB1	TRAF6
NFKB2	BIRC8
NFKB2	BCL2L1
RELA	TRAF4
ATF2	MCL1
NFKB1	MYB
CREB3L2	MCL1
PPARA	CPT2
PPARA	ACAA1
PPARA	ANGPTL4
PPARD	ILK
PPARD	ACOX1
PPARG	CPT1A
PPARG	LPL
PPARG	SCD5
RXRA	DBI
RXRA	FABP4
RXRA	ACADM
RXRA	SCD
RXRA	UBC
RXRB	CPT2
RXRB	CYP4A11
RXRB	CYP8B1
RXRB	CYP27A1
RXRB	DBI
RXRB	ACSL3
RXRB	ACSL6
RXRB	GK2
RXRB	HMGCS2
RXRB	APOA1
RXRB	LPL
RXRB	PCK2
RXRB	PLIN1
RXRB	SCD
RXRB	UBC
RXRB	ACSBG2
RXRB	ADIPOQ
RXRB	FADS2
RXRG	NR1H3
RXRG	SORBS1
RXRG	APOA5
RXRG	CPT1C
RXRG	CPT1A
RXRG	CYP27A1
RXRG	FABP1
RXRG	ACSL1
RXRG	GK
RXRG	HMGCS2
RXRG	APOA1
RXRG	SLC27A1
RXRG	OLR1
RXRG	PCK1
RXRG	PLTP
RXRG	UCP1
RXRG	ACSBG2
RXRG	ACOX3
RXRG	CD36
MAPK1	IL8
MAPK3	IL8
MAPK9	IL8
MAX	CDK6
CREBBP	CDKN2B
EP300	CDKN2B
SMAD3	PITX2
SMAD5	ID2
SMAD9	ID1
SMAD9	ID2
SMAD9	ID4
FOS	IL6
FOS	CCL4L2
FOS	CCL3L3
FOS	CCL3L1
FOS	TNF
IRF3	CXCL9
IRF3	CXCL11
IRF3	CD86
IRF5	IL6
IRF5	IL12B
IRF5	CCL3L3
IRF5	CCL3L1
IRF7	IFNA1
IRF7	IFNA5
IRF7	IFNA6
IRF7	IFNA13
IRF7	IFNA16
JUN	IL12A
JUN	CCL3
JUN	CCL4
NFKB1	CCL3L3
RELA	IL12B
RELA	CCL3
STAT1	CXCL9
SPI1	CD14
CREB1	LOC101060835
CREB1	HLA-DMB
MYD88	IFNA13
NFYA	LOC101060835
NFYA	HLA-DMB
NFYA	HLA-DQA1
NFYA	HLA-DQB1
NFYA	HLA-DRA
NFYC	LOC100507714
NFYC	HLA-DMA
NFYC	HLA-DMB
NFYC	HLA-DOA
MAPK1	IL1B
MAPK1	IL6
MAPK1	IL12A
RFX5	HLA-DRB3
RFX5	HLA-DRB4
MAPK12	IL12A
MAPK12	IL23A
MAPK12	TNF
STAT1	CIITA
STAT1	NOS2
RFXANK	LOC100507709
RFXANK	LOC100509457
RFXANK	LOC101060835
PDX1	INS
CREB3	AQP2
CREB1	AQP2
CREB3L4	AQP2
CREB5	AQP2
NFAT5	PTGS2
MYB	CDK1
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
TFAP2A	ADRA1A
CREB1	ADRB2
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
SP3	APOA1
USF1	APOA2
USF2	APOA2
CEBPA	APOB
PPARA	APOB
ATF2	APOC3
USF1	APOC3
USF2	APOC3
SPI1	B2M
USF1	B2M
NFKB1	CD83
SP3	CD83
USF1	CTSB
SP1	CTSL
SP3	CTSL
TP53	EGFR
MYC	EIF4E
NFKB1	ELF3
RELA	ELF3
ATF1	ERBB2
CREB1	ERBB2
ELK1	ERBB2
ETV4	ERBB2
TFAP2A	ERBB2
CEBPA	IL5
PPARG	LIPA
USF1	LIPC
FOS	MT1A
JUN	MT1A
RELA	MYC
SP1	MYC
TP53	NFIC
BCL6	NFKB1
CEBPB	NFKB1
SPI1	NFKB1
ELK1	PDGFB
NFKB1	PDGFB
JUN	PLAT
ETS2	PLAU
SP1	PLAU
ATF1	PLAUR
TP53	PLK1
SP2	PLP1
E2F4	POLA
E2F1	POLA
JUN	POLA
MYB	POLA
NFIC	POLA
TFAP2A	POLA
CREB1	POLD2
JUN	POLD2
NFIC	POLD2
TFAP2A	POLD2
E2F4	POLE2
NFIC	POLE2
FLI1	POLR2G
PPARG	POU2F1
ATF4	PPP1R15A
ATF1	PPP2R4
ETS1	PPP2R4
NFKB1	PPP2R4
CEBPA	PREB
TP53	PRKAB1
USF2	PTGS2
ESR1	PTMA
USF1	PTPN6
TP53	PTTG1
E2F4	RBL1
PPARD	RELA
SP1	RELA
CREB1	REN
RARA	S100A8
RARG	S100A8
RARB	S100A9
TP53	S100B
NFKB1	SAA2
SPI1	SCARB2
SPI1	SERPINB1
SP1	SERPINB2
ESR2	SERPINE1
PPARD	SERPINE1
SP1	SERPINE1
JUN	SFTPA1
POU2F1	SFTPA1
CREB1	SLC9A1
EGR1	SOD1
WT1	SOD1
CEBPB	TOP1
USF2	TOP3A
EGR1	TP53
FOS	TP53
ERG	VWF
ETS2	VWF
