CA1	TFCP2
PIH1D1	PPP1CA
CREB1	ATF6
PIH1D1	KMT2A
KMT2A	CREBBP
CREBBP	JUN
CREBBP	ETS1
PIH1D1	POLR2L
POLR2L	ESR1
ESR1	STAT3
PIH1D1	POLR2A
POLR2A	EP300
ESR1	HIF1A
PPP1CA	BRCA1
PPP1CA	TP53
CA4	PRDX2
PRDX2	APP
APP	MYC
CREBBP	PPARG
PPP1CA	CDK4
CDK4	CEBPA
PIH1D1	POLR2E
POLR2E	FOS
ESR1	MAPK1
PIH1D1	RUVBL1
RUVBL1	LEF1
PPP1CA	ZFYVE9
ZFYVE9	DAZAP2
KMT2A	MEN1
MEN1	TCF7L2
PIH1D1	RUVBL2
RUVBL2	CTNNB1
PRDX2	UBE2H
UBE2H	TRIM27
YAP1	TEAD3
PPP1CA	MAX
RUVBL2	ATF2
ESR1	SP1
ESR1	STAT5A
PIH1D1	POLR2D
POLR2D	ELP2
ELP2	STAT5B
PRDX2	YWHAZ
YWHAZ	FOXO3
PIH1D1	TYK2
TYK2	STAT1
PPP1CA	TRIM28
TRIM28	STAT4
PPP1CA	CRK
CRK	SOS1
CREBBP	STAT2
PRDX2	ANXA2
ANXA2	STAT6
RUVBL1	ELAVL1
ELAVL1	NFIC
POLR2L	SRC
SRC	RXRA
RUVBL1	RARA
PIH1D1	RPAP2
RPAP2	RXRG
ESR1	SP3
CREBBP	SMAD3
KMT2A	SKP2
SKP2	SMAD4
MEN1	JUND
KMT2A	HCFC1
HCFC1	E2F4
POLR2L	REL
REL	NFKB1
POLR2A	RELA
HCFC1	POU2F1
ESR1	SMAD2
CREBBP	MYB
CREBBP	EGR1
HCFC1	CREB3
PIH1D1	PPP1CC
PPP1CC	FXYD6
FXYD6	CREB3L1
ESR1	XBP1
XBP1	ATF6B
BRCA1	CREB5
PPP1CA	NCOR1
NCOR1	PPARA
ESR1	FOXO1
REL	NFKB2
APP	C9orf41
C9orf41	NR3C2
PIH1D1	TTI1
TTI1	ATF1
CREB3L1	BDNF
ATF6B	FOS
ATF4	FOS
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
ARNTL	BHLHE40
JUN	NFKB1
FOS	CCND1
LEF1	MYC
TCF7	BIRC5
TCF7	CCND1
TCF7L2	CCND1
TCF7L1	MYC
ESR1	TRPV5
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	FCER2
RBPJ	MYC
CTNNB1	CCND1
CTNNB1	CCND2
CTNNB1	CCND3
CREB3L4	PCNA
SMAD3	MYC
MAPK10	SMAD4
RELA	IL6
CREBBP	EPO
CREBBP	HK1
CREBBP	PFKFB4
CREBBP	PFKL
EP300	EPO
EP300	HK1
EP300	PFKFB4
EP300	PFKL
HIF1A	EPO
HIF1A	HK1
HIF1A	VEGFC
ARNT	EDN1
ARNT	FIGF
ARNT	PFKL
ARNT	TIMP1
RELA	HIF1A
YAP1	GLI2
YAP1	ID3
YAP1	CCND1
YAP1	AXIN2
WWTR1	FGF1
WWTR1	AREG
SMAD1	ID4
SMAD4	ID2
LEF1	AXIN1
TCF7	SNAI2
TCF7	CCND2
TCF7L2	SOX2
TCF7L2	CCND3
TEAD1	GLI2
TEAD1	SOX2
TEAD1	CCND2
TEAD4	MYC
TEAD4	AXIN1
TEAD3	CTGF
TEAD3	BIRC5
TEAD3	AXIN2
TP73	BBC3
TCF7L1	AXIN2
TEAD2	CTGF
TEAD2	CCND1
TEAD2	AXIN2
SMAD4	SLC2A1
STAT3	SOCS2
STAT3	CCND3
PAX6	GCK
TCF7	MITF
MAPK1	CDK4
MAPK3	CDK4
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
TP53	SESN3
NFKB1	FIGF
NFKB1	VEGFC
STAT3	VEGFA
STAT3	VEGFB
EPAS1	PGF
JUN	PGF
MYC	VEGFA
MYC	VEGFC
NFKB2	XIAP
NFKB2	CCND1
NFKB2	TRAF3
CREB3L4	MCL1
FOXO3	CDKN1B
CREB5	MCL1
PPARA	SLC27A4
PPARA	CYP8B1
PPARA	SCP2
PPARA	ACSBG2
PPARD	ACOX3
PPARG	SLC27A4
PPARG	FABP4
RXRA	NR1H3
RXRA	APOA5
RXRA	ACADL
RXRG	FABP3
ELK1	EGR1
MYC	CDK6
IRF7	IFNA14
MYD88	IFNA8
NFKB1	IL23A
NFYC	HLA-DQB1
NFYC	HLA-DRA
NFYC	HLA-DRB1
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK8	NOS2
MAPK8	IL23A
MAPK11	IL6
MAPK9	NOS2
MAPK9	IL23A
MAPK9	TNF
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
LEF1	MMP7
LEF1	PPARD
CREB1	TINAGL1
CREB1	CD55
CREB1	TWF2
SP1	REL
E2F4	CAV1
SP1	CAV1
TP53	CAV1
PPARG	EGFR
REL	EGFR
STAT5A	EGFR
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
CREM	GPX4
TFAP2A	GPX4
RARB	HDAC1
RELA	HDAC1
RELA	HDAC2
POU2F1	HIST2H2BE
FOS	HLA-DRA
POU2F2	HLA-DRA
POU5F1	HMGB2
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
REL	IL1B
JUN	IVL
JUNB	IVL
E2F1	MYB
BCL3	MYB
POU2F2	MYC
EGR1	PLAU
ETS1	PRL
CEBPD	PTGS2
LEF1	SPP1
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
E2F4	TOP1
HIF1A	VHL
TFAP2A	VHL
ETS1	VWF
NFIC	VWF
POU2F1	VWF
SMAD4	ZFP36
