ADRA1B	AP2M1
TFAP2A	POLD2
FLI1	POLR2G
ATF1	PPP2R4
CEBPA	PREB
CEBPB	PRL
CEBPB	PTGS2
JUN	TFPI2
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
PAX1	VHL
ETS1	VWF
NFIC	VWF
