ADRA1B	AP2M1
RELA	PPARA
DTNA	MYO1E
MYO1E	CAND1
CAND1	NR3C2
RELA	POU2F1
RELA	USF2
RELA	PPARG
EP300	STAT5A
AMFR	HAX1
HAX1	STAT5B
AMFR	UBE2D1
UBE2D1	YAP1
RELA	JUN
RELA	SP3
RELA	ATF4
NUP62	MUC1
MUC1	SOS1
ACTB	ESR1
ESR1	SOS2
RELA	EGR1
RELA	SMAD3
RELA	SMAD4
KCNH2	YWHAE
YWHAE	XPO1
XPO1	E2F4
YWHAE	YWHAQ
YWHAQ	E2F1
YWHAE	BCAR1
KCNH2	HSP90AA1
HSP90AA1	BCL6
BCL6	E2F3
YWHAE	ABL1
ABL1	FOS
KCNH2	HSPA8
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
HSP90AA1	HIF1A
ABL1	CREB1
YWHAE	HDAC4
HDAC4	NFKB1
KCNH2	STUB1
STUB1	FOXO1
HSP90AA1	MDM2
MDM2	JUND
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
HSP90AA1	ARNT
HSP90AA1	SP1
YWHAE	MAPK14
MAPK14	ATF2
HSPA8	TP53
TP53	ETS1
YWHAE	C1QBP
C1QBP	CEBPA
XPO1	PPARG
HSPA8	ESR1
ESR1	STAT5A
HSPA8	NMI
NMI	STAT5B
YWHAQ	YAP1
ABL1	JUN
ESR1	SP3
YWHAE	SHMT2
SHMT2	ATF4
YWHAE	CBL
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	NCBP1
NCBP1	SMAD4
ADRA2A	GNAI2
GNAI2	GNAI3
GNAI3	XPO1
ADRA2A	UCHL1
UCHL1	UBC
GNAI2	TRIP6
TRIP6	BCAR1
GNAI2	NUCB1
NUCB1	RBL1
RBL1	E2F3
UCHL1	UBE2I
UBE2I	FOS
UCHL1	HSP90AA1
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	CTNNB1
CTNNB1	HIF1A
UCHL1	TP53
TP53	CREB1
UCHL1	COPS5
COPS5	NFKB1
GNAI2	ITCH
ITCH	SMAD3
SMAD3	FOXO1
COPS5	JUND
CTNNB1	CREBBP
CTNNB1	EP300
CTNNB1	SP1
ADRA2A	GNAO1
GNAO1	RGS20
RGS20	RUVBL2
UBE2I	ETS1
UCHL1	CDK4
CDK4	CEBPA
UBE2I	PPARA
UCHL1	HSPA8
GNAI2	NPM1
NPM1	BRCA1
BRCA1	USF2
CTNNB1	PPARG
ITCH	ERBB4
ERBB4	STAT5A
GNAI2	PLSCR1
PLSCR1	EGFR
EGFR	STAT5B
NPM1	RELA
CTNNB1	FOXO3
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
ITCH	JUN
GNAI2	SRSF1
SRSF1	PIAS1
PIAS1	SP3
GNAO1	GABBR1
GABBR1	ATF4
UCHL1	TNFRSF1A
TNFRSF1A	SOS1
TRIP6	ABI2
ABI2	SOS2
TP53	EGR1
COPS5	SMAD4
ADRA2B	UCHL1
CTNNB1	BRCA1
BRCA1	E2F4
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
SHMT2	E2F2
CTNNB1	HDAC1
HDAC1	E2F3
PPARG	RXRB
EIF2B1	HNRNPL
HNRNPL	HMGA1
HMGA1	ATF2
UBE2I	NR3C1
NR3C1	STAT5B
TP53	RELA
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
UBE2I	JUN
HNRNPL	SFPQ
CTNNB1	ESR1
TP53	SMAD3
CREB3	FOSB
CREB3	NPY
CREB1	FOSB
CREB1	NPY
ATF6B	FOSB
ATF6B	NPY
CREB3L3	FOSB
CREB3L1	BDNF
CREB5	BDNF
CREB3L4	FOS
CREB3L2	FOS
GLI3	WNT1
GLI3	WNT2
TP53	SFN
TP53	GADD45B
ATF6B	IL8
ATF4	PCNA
CREBBP	ENO1
CREBBP	HK3
EP300	ENO1
EP300	HK3
HIF1A	ENO1
HIF1A	HK3
ARNT	CDKN1A
ARNT	ENO1
LEF1	BIRC2
LEF1	AXIN1
TCF7	SOX2
TCF7	AXIN1
TCF7L2	AXIN1
TCF7L2	AXIN2
TCF7L1	BIRC2
TEAD2	GLI2
RELA	CCL4L1
PIK3CB	AKT2
RBPJL	HES5
TP53	RPRM
NFKB1	VEGFC
EPAS1	PDGFB
EPAS1	PGF
MYC	VEGFC
NFKB2	TRAF2
NFKB2	TRAF3
FOXO3	CDKN1B
PPARA	CYP7A1
PPARA	CYP8B1
PPARA	ACSBG2
PPARG	CYP27A1
PPARG	FABP4
RXRA	APOA5
RXRA	SLC27A1
RXRA	LPL
RXRB	OLR1
MAPK11	IL12A
MAPK13	IL12B
MAPK13	IL18
RELA	CEBPB
RELA	IL1A
RELA	IL18
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
NFATC1	PTGS2
NFATC2	PTGS2
NFATC3	PTGS2
NFIC	ADA
SP1	ADA
BCL6	ADH6
PPARG	APOE
RARB	CRABP2
JUN	CYP11A1
SP3	CYP17A1
PPARA	CYP1A1
TFAP2A	GH2
USF1	GH2
POU2F1	HIST2H2BE
FOS	HLA-DRA
POU2F1	IL2
CEBPA	IL6
RARA	MIF
RARG	MIF
CEBPA	MMP11
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
CREB1	NTS
FOS	NTS
MYC	ODC1
CREB1	ODC1
TP53	PCNA
EGR1	PDGFB
CREB1	PLAT
EGR1	PLAU
RARA	PLAU
ATF2	PTGS2
PPARG	PTGS2
SP1	TFPI2
ATF1	TFRC
SP1	TNF
SP3	TNF
