DDC	RELA
TEAD2	CTGF
TEAD2	GLI2
TEAD2	AXIN2
TEAD2	CCND2
SOS1	SPRY1
SOS1	SPRY2
STAT4	CCND1
STAT4	CCND3
STAT5B	MYC
STAT5B	CCND2
HNF1A	HNF4A
RELA	CCL4L1
PIK3CB	AKT2
RBPJL	HES5
TP53	IGFBP3
TP53	RPRM
ETS1	VEGFC
FOS	FIGF
HIF1A	TGFB1
JUN	FIGF
CREB1	BCL2
FOXO3	G6PC2
ATF4	MCL1
ATF4	BCL2
PPARA	ACOX1
PPARD	CPT1A
PPARD	FABP3
PPARD	ACADL
PPARG	UCP1
RXRA	CYP4A11
RXRA	CYP8B1
RXRA	CYP27A1
CREB1	CD74
MAPK14	IL1B
MAPK14	IL12A
MAPK14	IL18
MAPK14	IL23A
MYD88	IFNA1
MYD88	IFNA4
MYD88	IFNA6
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
NFKB1	CEBPG
MAPK13	IL12B
MAPK13	IL18
MAPK13	NOS2
MAPK13	IL23A
MAPK13	TNF
RELA	CEBPB
RELA	CEBPG
RELA	IL1A
RELA	IL18
RELA	IL23A
MAPK12	NOS2
RFXANK	HLA-DMA
SP1	ABCB1
TP53	ABCB1
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C2
POU2F1	AKR1C3
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
JUN	ALDOA
SP1	ALDOA
POU2F1	ALDOC
SMAD1	ANKRD1
SMAD3	ANKRD1
NFIC	ARG1
ATF3	ASNS
ATF4	ASNS
TP53	BAK1
ATF1	BCL2
BRCA1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
CREB1	BRCA1
USF1	CALCA
USF2	CALCA
TFDP1	CAV1
TP53	CAV1
E2F+P170	CCNA2
MYC	CCNB1
USF1	CCND1
NFKB1	CSF1
ETS1	CSF2
RELA	CSF2
CREB1	CYP11A1
SP1	CYP17A1
SP3	CYP17A1
PPARA	CYP1A1
SP1	CYP21A2
JUNB	DCN
MYC	DDX18
ETS1	DNTT
EGR1	EGFR
ESR1	EGFR
ESR2	EGFR
NFKB2	EGFR
STAT5A	EGFR
STAT5B	EGFR
TFAP2A	EGFR
JUN	F3
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
RARA	GADD45B
CREB1	GH2
NFIC	GH2
CREB1	GSTP1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
NFKB1	ICAM1
NFKB1	IER3
EGR1	IFNG
REL	IFNG
STAT1	IFNG
REL	IL2
SP1	ITGA2
JUN	IVL
JUNB	IVL
SMAD4	JUN
SP1	JUN
NFKB1	KLK3
PGR	KLK3
SP3	KLK3
TFAP2A	MMP2
TP53	MMP2
BCL3	MYB
TFAP2A	MYC
E2F4	MYCN
MYC	NRAS
JUN	NRAS
TFAP2A	NRAS
CREB1	NTS
JUN	NTS
MYC	ODC1
SP1	ODC1
CEBPA	PCK2
E2F4	PCNA
TP53	PCNA
SP1	PDGFB
FOS	PDHA1
SP1	PDHA1
PAX6	PDHX
ATF3	PENK
JUN	PENK
JUND	PLAT
TFAP2A	PLAT
EGR1	TFPI2
JUN	TFPI2
NFIC	TFPI2
SP1	TNF
SP3	TNF
SPI1	TNF
ERG	TNNC1
ETS1	TNNC1
JUN	TNNC1
NFKB1	TNNC1
SMAD3	TNNC1
SMAD4	TNNC1
SP3	TNPO1
TFAP2A	TNPO1
NFKB1	TP53
PAX5	TP53
CREB1	TRH
ETV4	VIM
