PDE4A	SQSTM1
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
MDM2	CTNNB1
LYN	CREBBP
MDM2	EP300
PDE4D	GNB2L1
GNB2L1	HIF1A
GNB2L1	RB1
RB1	ARNT
APP	KAT5
KAT5	CREB1
APP	MYC
GSK3B	SMAD3
APP	HSPA8
HSPA8	POU2F1
APP	DDX54
DDX54	PGR
MYC	TFAP2A
MDM2	JUND
MAPK8	STAT3
PDE4D	BIN1
BIN1	SOS1
BIN1	SOS2
APP	MAPK7
MAPK7	FOS
MDM2	MYD88
CREBBP	EGR1
PDE3A	JUP
JUP	NFKBIE
NFKBIE	NFKB1
NFKBIE	RELA
PDE3A	GANAB
GANAB	MAPK8
PDE3A	MMS19
MMS19	ESR1
MAPK8	JUN
PDE3A	UBE4B
UBE4B	TP53
MMS19	XPO1
XPO1	YAP1
MMS19	NARF
NARF	LEF1
PDE3A	TRMT1
TRMT1	2-Sep
2-Sep	DAZAP2
MAPK8	CTNNB1
CTNNB1	TCF7L2
JUP	CDH1
CDH1	CREBBP
MAPK8	EP300
ESR1	HIF1A
TP53	CREB1
MAPK8	MYC
MMS19	AATF
AATF	SMAD3
PDE3A	ATP6V1B2
ATP6V1B2	XRCC6
XRCC6	POU2F1
ESR1	PGR
JUP	APC
APC	TFAP2A
MAPK8	JUND
UBE4B	CBL
CBL	SOS1
MMS19	HDAC6
CREB3	FOSB
ATF6B	FOS
ATF4	FOS
TFDP2	CCNE2
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
MAPK14	CXCL1
ELK1	CCND1
JUN	CCND2
CREB3	PCNA
CREB3L4	PCNA
EGR3	FASLG
CREB3L2	PCNA
CREB3L3	IL8
CREB3L1	PCNA
CREBBP	EPO
CREBBP	FIGF
CREBBP	SLC2A1
CREBBP	TFRC
CREBBP	VEGFB
EP300	EPO
EP300	FIGF
EP300	SLC2A1
EP300	TFRC
EP300	VEGFB
HIF1A	EPO
HIF1A	FIGF
ARNT	EDN1
ARNT	EGF
ARNT	PFKFB1
TCF7	SNAI2
TCF7L2	SOX2
TEAD4	AXIN1
SOS1	SPRED1
HNF1A	HNF4G
RXRG	EHHADH
IRF7	IFNA8
CREB1	CD74
MAPK14	IL12A
MAPK14	IL23A
MYD88	IFNA4
MAPK1	IL18
MAPK1	NOS2
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
NFKB1	ABCB1
JUN	F3
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
FOS	GSTP1
SP1	GYPC
NFIC	HBA2
SP1	HBZ
CEBPB	IL5
ETS2	IL5
SPI1	IL5
JUN	IVL
JUNB	IVL
PPARG	MMP9
CREB1	NTS
ETS1	PRL
CEBPD	PTGS2
ELK1	TNF
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
