PDE4A	SQSTM1
PPARG	RXRG
UBE2I	PPARA
EP300	CTNNB1
EP300	PLSCR1
PLSCR1	DAZAP2
MAGEA11	AR
AR	TCF7L2
EP300	NCOA1
NCOA1	TEAD1
MAGEA11	TRIM27
TRIM27	TEAD4
E2F1	TEAD3
EP300	BRCA1
BRCA1	ATF1
PDE4D	APP
APP	GSK3B
GSK3B	NFKB1
PDE4D	ARRB2
ARRB2	TRIM28
TRIM28	E2F4
APP	MYC
MYC	TFAP2A
PDE4D	LYN
LYN	CREBBP
CREBBP	ETS2
PDE4D	ARRB1
ARRB1	HSP90AA1
APP	ELK1
PDE4D	MDM2
MDM2	E2F1
PDE4D	GNB2L1
GNB2L1	RB1
TRIM28	E2F3
APP	HSPA8
HSPA8	POU2F1
MDM2	RELA
APP	MAPK7
MAPK7	ETS1
GNB2L1	TP73
APP	MAPK8
MAPK8	SP1
MDM2	JUN
LYN	TP53
APP	KAT5
KAT5	CREB1
CREBBP	EGR1
MAPK8	STAT3
ARRB2	STAT1
APP	TAF6
TAF6	YAP1
MAPK7	FOS
GNB2L1	TP63
MDM2	EP300
GNB2L1	HIF1A
RB1	ARNT
MAPK8	CEBPA
MAPK8	HSF1
APP	PHF8
PHF8	RARA
ARRB2	SFPQ
SFPQ	SP3
GSK3B	RXRA
APP	AKAP13
AKAP13	RXRB
MDM2	CUL1
AKAP13	PPARA
ARRB2	ALYREF
ALYREF	LEF1
APP	HGS
HGS	DAZAP2
APP	FBLN1
FBLN1	TCF7L2
MDM2	CTNNB1
HGS	INSR
INSR	TEAD1
MDM2	GOLGA2
GOLGA2	TEAD4
ARRB2	CSNK2A1
CSNK2A1	ATF1
PDE4C	SRI
SRI	STAT3
STAT3	NFKB1
STAT3	PML
PML	E2F4
STAT3	EP300
SRI	SOD1
SOD1	RFX1
RFX1	NFIC
STAT3	MAPK8
MAPK8	ELK1
EP300	E2F1
STAT3	RB1
STAT3	RELA
RELA	POU2F1
STAT3	SP1
STAT3	JUN
SRI	ANXA7
ANXA7	TP53
STAT3	STAT1
PML	MYC
PML	YAP1
PML	FOS
SRI	TCF12
TCF12	SMAD2
SMAD2	ETV4
TCF12	CREBBP
STAT3	HIF1A
PML	ARNT
STAT3	CDKN1A
CDKN1A	CEBPA
STAT3	SMARCA4
SMARCA4	HSF1
PML	RARA
PML	RXRA
PML	PPARG
PPARG	RXRB
PML	NCOR2
NCOR2	RXRG
RELA	PPARA
STAT3	SMAD1
SMAD1	LEF1
STAT3	MAP3K7
MAP3K7	DAZAP2
PML	TCF7L2
PML	CTNNB1
STAT3	NCOA1
EP300	GOLGA2
YAP1	TEAD3
CREBBP	ATF1
PGD	SUMO3
SUMO3	RL2
RL2	NFKB1
PGD	GNAI3
GNAI3	XPO1
XPO1	E2F4
GNAI3	GNAI2
GNAI2	NPM1
NPM1	TFAP2A
GNAI3	YWHAQ
YWHAQ	NCOA3
NCOA3	ETS2
PGD	RPS6KA1
RPS6KA1	HSP90AA1
SUMO3	UBE2I
YWHAQ	E2F1
XPO1	ELAVL1
ELAVL1	E2F2
PGD	EEF2
EEF2	HCFC1
HCFC1	E2F3
EEF2	XRCC6
XRCC6	POU2F1
PGD	GDI1
GDI1	RAC3
RAC3	RELA
UBE2I	ETS1
PGD	TALDO1
TALDO1	TP73
SUMO3	PML
PML	SP1
PML	JUN
PGD	P4HB
P4HB	SERPINH1
SERPINH1	TP53
RPS6KA1	CREB1
YWHAQ	PSMA3
PSMA3	EGR1
GNAI3	GNB2
GNB2	STAT3
XPO1	STAT1
TP73	MYC
SUMO3	UBA2
UBA2	ETV4
PML	CREBBP
TP73	EP300
P4HB	VCP
VCP	HIF1A
YWHAQ	CDKN1A
P4HB	CALU
CALU	HSF1
SUMO3	PIAS1
PIAS1	SP3
XPO1	PPARG
TALDO1	CFDP1
CFDP1	RUVBL1
RUVBL1	LEF1
GNAI2	PLSCR1
P4HB	PTN
PTN	CTNNB1
YAP1	TEAD1
GNAI3	GNG5
GNG5	GOLGA2
GNAI3	ALG6
ALG6	GEP3
GEP3	ATF1
ATF6B	ARC
ATF4	ARC
GLI2	WNT5A
GLI2	WNT7A
GLI2	WNT8A
GLI3	HHIP
JUN	RELA
LEF1	MYC
TCF7	BIRC5
MAPK11	IL8
RBPJL	FCER2
CREB3L4	PCNA
MAPK8	JUN
MAPK9	SMAD4
CREBBP	EPO
CREBBP	ANGPT4
CREBBP	PFKFB2
EP300	EPO
EP300	ANGPT4
EP300	PFKFB2
HIF1A	EPO
HIF1A	ANGPT4
HIF1A	PFKFB2
HIF1A	TEK
HIF1A	TFRC
ARNT	FIGF
ARNT	BCL2
ARNT	TIMP1
ARNT	VEGFA
RELA	HIF1A
STAT3	HIF1A
YAP1	GLI2
YAP1	ID1
YAP1	CCND1
YAP1	AREGB
WWTR1	FGF1
WWTR1	BIRC5
SMAD1	ID4
SMAD2	CTGF
SMAD2	SERPINE1
SMAD4	ID2
TEAD1	SOX2
TEAD3	CTGF
FOXO1	PCK1
STAT4	CCND3
STAT4	SOCS3
STAT5B	CCND2
STAT5B	CCND3
CREB1	MITF
MAPK3	CCND1
NFKB1	CCL4L2
NFKB1	PTGS2
NFKB1	TRAF2
NFKB2	ICAM1
RELB	CCL13
PIK3CA	AKT1
PIK3R1	AKT3
PIK3R2	AKT3
PIK3R2	AKT1
RBPJL	PTCRA
ETS1	CDK4
FOS	VEGFB
IRF8	IL12B
CREB1	BCL2
CREB3L1	MCL1
PPARA	APOA2
PPARA	ACOX1
PPARD	UCP1
PPARG	PCK1
PPARG	UCP1
RXRA	ACSL3
RXRA	SCD5
RXRB	ACAA1
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA16
MYD88	IFNA17
NFYA	HLA-DOB
NFYA	CD74
RFX5	HLA-DMA
RFX5	HLA-DMB
RFX5	HLA-DRB5
RFXAP	LOC100507714
RFXAP	LOC100509457
RFXAP	LOC101060835
RFXAP	HLA-DMA
RFXAP	HLA-DMB
RFXAP	HLA-DOA
RFXAP	HLA-DOB
PDX1	INS
ETV4	PLAUR
FOS	PLAUR
HIF1A	HSP90B1
TP53	MKI67
TP53	APAF1
TP53	EPCAM
TP53	HSP90AB1
USF1	XRCC6
USF1	SERPINE1
E2F4	CAV1
SP1	CAV1
USF1	CCND1
JUN	CYP11A1
NFIC	CYP11A1
NFKB1	CYP11A1
PPARG	EGFR
REL	EGFR
RARA	GADD45B
ESR1	HSPB1
SP1	HSPB1
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
CREM	ICAM1
SPI1	IL1B
RELA	IL2
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
USF2	LIPC
JUN	MAT2A
MYB	MAT2A
NFKB1	MAT2A
SP1	MAT2A
SP2	MAT2A
SP1	MAT2B
SP3	MAT2B
BCL3	MYB
ESR1	MYC
CEBPB	PRL
CEBPB	PTGS2
USF2	SP1
ETS1	SPP1
ETV4	SPP1
NFIC	TFPI2
PAX1	VHL
ETS1	VWF
NFIC	VWF
