PDE4A	SQSTM1
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
LEF1	JUN
LEF1	PPARD
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRA1A
SP1	ADRA1A
ATF4	ASNS
TP53	CAV1
USF1	CCND1
POU2F1	CD79A
POU2F2	CD79A
ETS1	CD79B
POU2F1	CD79B
JUN	F3
RARA	GADD45B
CREB1	GH2
NFIC	GH2
NFKB1	IER3
ATF2	IFNG
EGR1	IGF2
FLI1	IGFBP3
SP3	IGFBP3
TFAP2A	IGFBP3
CEBPB	IL1A
ATF1	IL1B
CEBPB	IL1B
REL	IL1B
SPI1	IL1B
CREB1	IL6
EGR1	IL6
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
ATF1	LDHA
CREB1	LDHA
SP1	LDHA
CREM	LDHC
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
ETS1	MYB
ETV4	MYB
MYB	MYB
CEBPE	MYC
ESR1	MYC
JUN	MYC
MYB	MYC
NFKB1	MYC
PGR	MYC
POU2F1	MYC
CEBPB	PRL
CEBPB	PTGS2
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
PAX1	VHL
