ADRA1B	AP2M1
RUNX1T1	CREB3L1
AMFR	UBE2D1
UBE2D1	YAP1
AMFR	HTT
HTT	ZDHHC17
ZDHHC17	TEAD1
DTNA	SNTA1
SNTA1	GOLGA2
GOLGA2	TEAD4
SNTB2	MAST2
MAST2	SUMO2
SUMO2	TEAD3
RELA	SMAD3
NUP62	MUC1
MUC1	SOS1
ACTB	ESR1
ESR1	SOS2
RELA	HIF1A
ABCA1	CREBBP
GOPC	HSF1
HSF1	MYB
KCNH2	HSP90AA1
HSP90AA1	MYC
KCNH2	YWHAE
YWHAE	ABL1
ABL1	JUN
KCNH2	HSPA8
HSPA8	FLYWCH2
FLYWCH2	RXRB
HSP90AA1	PPARA
PPARA	RXRG
HSPA8	TP53
HSP90AA1	EPAS1
EPAS1	MITF
YWHAE	SHMT2
SHMT2	ATF4
KCNH2	CDC73
CDC73	CTNNB1
CTNNB1	LEF1
YWHAE	MAP3K7
MAP3K7	DAZAP2
CTNNB1	TCF7L2
YWHAE	NPM1
NPM1	TFAP2A
YWHAE	HDAC4
HDAC4	NFKB1
HSP90AA1	SP1
YWHAE	XPO1
XPO1	E2F4
SHMT2	CREB3
ABL1	CREB1
YWHAE	HNRNPA1
HNRNPA1	ELAVL1
ELAVL1	CREB3L2
KCNH2	FKBP8
FKBP8	PGRMC1
PGRMC1	CREB3L1
YWHAE	MAPK14
MAPK14	ATF6
YWHAE	YWHAQ
YWHAQ	YAP1
YWHAE	WWTR1
YWHAE	EIF3E
EIF3E	TRIM27
TRIM27	TEAD4
WWTR1	TEAD3
KCNH2	NEDD4L
NEDD4L	SMAD3
YWHAE	CBL
CBL	SOS1
YWHAE	GRAP2
GRAP2	SOS2
HSP90AA1	HIF1A
YWHAE	FOXO3
FOXO3	CREBBP
YWHAE	TP53BP2
TP53BP2	EP300
YWHAE	RPL4
RPL4	MYB
ADRA2A	UCHL1
UCHL1	CDK4
CDK4	MYC
ADRA2A	GNAI2
GNAI2	ITCH
ITCH	JUN
UCHL1	HSPA8
UCHL1	UBE2I
UBE2I	RXRA
GNAI2	MDFI
MDFI	NR1H2
GNAI2	TRIP6
TRIP6	AJUBA
AJUBA	RXRG
UCHL1	TP53
UBE2I	MITF
ADRA2A	GNAO1
GNAO1	GABBR1
GABBR1	ATF4
UBE2I	PPARA
UCHL1	CTNNB1
GNAI2	PLSCR1
PLSCR1	DAZAP2
GNAI2	NPM1
UCHL1	COPS5
COPS5	NFKB1
NPM1	RELA
CTNNB1	SP1
GNAI2	GNAI3
GNAI3	XPO1
TP53	CREB1
CTNNB1	ELAVL1
MDFI	PRKAB2
UCHL1	UBC
GNAO1	CACNA1B
CACNA1B	UBE2L3
UBE2L3	YAP1
CTNNB1	SOX2
SOX2	TEAD1
GNAI2	GNG5
GNG5	GOLGA2
MDFI	PIDD1
PIDD1	TEAD3
ITCH	SMAD3
UCHL1	TNFRSF1A
TNFRSF1A	SOS1
TRIP6	ABI2
ABI2	SOS2
CTNNB1	HIF1A
CTNNB1	CREBBP
CTNNB1	EP300
UBE2I	MYB
ADRA2B	UCHL1
UBE2I	JUN
CTNNB1	PPARG
PPARG	RXRB
ADRA2B	EIF2B1
EIF2B1	GORASP2
GORASP2	SHMT2
TP53	TFAP2A
TP53	RELA
CTNNB1	BRCA1
BRCA1	E2F4
COPS5	PGRMC1
EIF2B1	GCD2
GCD2	TSA1
TSA1	YAP1
GORASP2	GOLGA2
UBE2I	SUMO2
TP53	SMAD3
CTNNB1	ESR1
IFNG	IDO1
CREB3	CRH
ATF6B	CRH
CREB3L4	NPY
ATF4	NPY
STAT5B	BCL2L1
CREB1	PER2
ARNTL	PER1
ARNTL	RORC
TCF7	CCND1
TCF7L2	CCND1
MAPK14	CXCL1
JUN	CXCL1
RBPJL	MYC
RBPJ	MYC
ATF6B	PCNA
CREBBP	ENO2
EP300	ENO2
ARNT	EDN1
YAP1	ID3
YAP1	AXIN2
WWTR1	AREG
TCF7	SNAI2
TCF7L2	SOX2
STAT2	PIM1
STAT2	CCND1
STAT2	SOCS1
STAT2	SOCS2
STAT2	CCND2
STAT2	CCND3
STAT2	SOCS3
STAT2	SOCS5
STAT3	SOCS4
STAT3	SOCS7
STAT3	MYC
STAT3	CCND1
STAT3	SOCS1
PAX6	PDX1
PIK3CD	AKT3
PIK3R1	PDPK1
EPAS1	PGF
FOS	FIGF
FOS	VEGFB
NFKB2	TRAF3
FOXO3	CDKN1B
ATF4	MCL1
CREB3L1	MCL1
PPARA	CYP8B1
PPARA	ACSBG2
PPARD	FABP3
PPARD	UCP1
PPARG	FABP4
RXRA	APOA5
RXRA	CYP8B1
RXRA	ACSL3
RXRG	FABP4
IRF7	IFNA10
MAPK11	IL6
MAPK9	NOS2
SP1	REL
POU2F2	CD79A
POU2F1	CD79B
NFKB1	FN1
RELA	FN1
ESR2	FOS
ETS2	FOS
FLI1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CEBPA	GADD45A
POU2F2	HLA-DRA
POU5F1	HMGB2
BCL3	MYB
POU2F2	MYC
RELA	MYC
CREB1	NRAS
ATF1	NTS
BRCA1	PCNA
SP3	PDGFB
TFAP2A	PDHA1
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
POU2F1	VWF
SMAD4	ZFP36
