PDE4A	SQSTM1
APP	MAPK7
MAPK7	ETS1
PDE4D	MDM2
MDM2	JUN
PDE4D	ARRB2
ARRB2	SFPQ
SFPQ	SP3
APP	ELK1
ELK1	FLI1
APP	GSK3B
GSK3B	NFKB1
MDM2	ESR1
PDE4D	ARRB1
ARRB1	HSP90AA1
GSK3B	SMAD3
APP	CSNK1D
CSNK1D	SMAD2
APP	HSPA8
HSPA8	ERG
APP	MAPK8
MAPK8	SP1
CSNK1D	SMAD4
APP	MYC
MYC	TFAP2A
MAPK8	CEBPA
PDE4D	LYN
LYN	CREBBP
MDM2	EP300
PDE4D	GNB2L1
GNB2L1	HIF1A
GNB2L1	RB1
RB1	ARNT
APP	AKAP13
AKAP13	PPARA
MDM2	RELA
LYN	TP53
GSK3B	RXRA
AKAP13	RXRB
MDM2	CUL1
APP	KAT5
KAT5	CREB1
APP	RFX5
RFX5	PPARG
CREBBP	ETS2
PDE3A	MMS19
MMS19	RBBP6
RBBP6	ETS1
PDE3A	GANAB
GANAB	MAPK8
MAPK8	JUN
MMS19	ESR1
ESR1	SP3
MMS19	FMNL1
FMNL1	FLI1
PDE3A	JUP
JUP	NFKBIE
NFKBIE	NFKB1
JUP	CDH1
CDH1	HSP90AA1
MMS19	AATF
AATF	SMAD3
ESR1	SMAD2
PDE3A	UBE4B
UBE4B	USP9X
USP9X	ERG
MAPK8	EP300
JUP	APC
APC	TFAP2A
MAPK8	MYC
CDH1	CREBBP
ESR1	HIF1A
MAPK8	SIRT1
SIRT1	PPARA
NFKBIE	RELA
UBE4B	TP53
MMS19	THRB
THRB	RXRA
THRB	RXRB
THRB	RXRG
TP53	CREB1
MMS19	XPO1
XPO1	PPARG
TP53	ETS2
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
ARNTL	NR1D1
CTNNB1	CCND2
SMAD3	MYC
MAPK10	SMAD4
CREBBP	HK1
CREBBP	PFKFB4
EP300	HK1
EP300	PFKFB4
HIF1A	HK1
STAT4	CCND3
STAT5A	CCND1
STAT5B	CCND2
STAT6	MYC
VDR	ATP2B1
PIK3R2	AKT1
EPAS1	PDGFB
EPAS1	SLC2A1
EPAS1	TGFA
MAX	CKS2
NFKB2	TRAF2
NFKB2	TRAF6
NFKB2	TRAF4
ATF4	BCL2
PPARA	CYP7A1
PPARA	EHHADH
PPARA	ACSL1
PPARD	ACADL
PPARG	CYP27A1
PPARG	ACSL3
PPARG	ACSBG1
RXRA	CYP27A1
MYD88	IFNA7
MYD88	IFNA14
MYD88	IFNA17
MAPK3	IL1A
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1B
TCF7	MMP7
TCF7	PPARD
TCF7	FOSL1
PPARG	APOE
USF2	APOE
USF1	CALCA
USF2	CALCA
RELA	EGFR
RARA	GADD45B
SP1	GJA1
NFIC	GOT1
CEBPA	GPX4
TFAP2A	GPX4
NFKB1	ICAM1
RELA	ICAM1
SPI1	ICAM1
MYC	ID2
ATF1	ID2
NFKB1	IER3
CEBPD	IL1B
CREB1	IL1B
RELA	IL2
STAT4	IL2RA
CEBPA	IL5
JUN	MGP
RARA	MIF
RARB	MIF
RARG	MIF
CEBPA	MMP11
CEBPA	MMP2
ERG	MMP2
ETV4	MMP2
FLI1	MMP2
TFAP2A	MT1A
E2F1	MYB
JUN	MYC
MYB	MYC
MYBL2	MYC
NFKB1	MYC
PGR	MYC
LEF1	SPP1
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
MYC	TP53
