SLC22A6	APP
NFIC	IL6
NFKB2	IL8
ATF2	INS
NFKB1	IRF1
STAT3	IRF1
CEBPA	ITGA2
SP1	KRT5
TFAP2A	KRT5
SP1	LCAT
SP3	LCAT
ETS1	LCK
EGR1	LHB
SP3	LHB
PPARA	LIPA
PPARD	LIPA
WT1	MYB
E2F4	MYC
MYC	MYC
ESR1	MYC
E2F1	POLA
NFIC	POLA
POU2F1	PRL
CREB1	PTGS2
MYBL2	RBL1
PPARD	RELA
RELA	SAA2
SPI1	SCARB2
NFIC	SFTPC
CREB1	SLC9A1
JUN	TFPI2
CEBPB	TOP1
USF2	TOP3A
EGR1	TP53
FOS	TP53
