PDE4A	SQSTM1
JUP	NFKBIE
NFKBIE	NFKB2
APC	EPAS1
MAPK8	CTNNB1
CTNNB1	PPARD
CDH1	HSP90AA1
MAPK8	REL
REL	RELB
CREB3L1	CRH
CREB3L1	BDNF
GLI2	WNT10B
GLI2	WNT2B
GLI2	WNT9B
GLI3	WNT16
CTNNB1	CCND2
EGR3	FASLG
MAPK10	SMAD4
CREBBP	FIGF
CREBBP	PFKFB4
EP300	FIGF
EP300	PFKFB4
HIF1A	FIGF
ARNT	EGF
ARNT	ANGPT4
ARNT	PFKFB1
ARNT	PGK1
STAT3	SOCS2
STAT3	CCND3
STAT5A	SOCS5
STAT5B	SOCS7
STAT6	CCND2
STAT6	SOCS3
HNF1A	HNF4G
CREB1	MITF
RELA	PTGS2
RELB	CCL19
PIK3CD	AKT3
PIK3R1	PDPK1
MAX	CKS1B
NFKB1	TRAF3
NFKB2	BIRC2
NFKB2	TRAF5
FOXO3	PCK2
CREB3L3	BCL2
PPARA	DBI
PPARD	CPT1C
PPARD	UBC
PPARG	ACSL1
RXRA	CPT2
RXRA	ACSL1
RXRA	ACSBG2
RXRA	ACOX2
RXRB	ACADM
RXRB	APOC3
NFYC	LOC100509457
NFYC	LOC101060835
RFX5	LOC100507714
RFX5	LOC101060835
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DRA
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1B
USF1	APOC3
USF2	APOC3
CREB1	CYP11A1
PPARG	EGFR
REL	EGFR
CEBPB	IL5
ETS1	IL5
ETS2	IL5
JUND	IL5
POU2F1	IL5
POU2F2	IL5
SPI1	IL5
JUND	PLAT
EGR1	PLAU
LEF1	SPP1
POU2F2	SPP1
NFIC	STMN1
JUN	TFF1
