SLC22A6	APP
NFYC	HLA-DRB1
NFYC	HLA-DRB3
NFYC	HLA-DRB4
MAPK1	IL1A
MAPK11	IL6
MAPK9	NOS2
MAPK10	IL6
RFXAP	HLA-DPA1
RFXAP	HLA-DPB1
RFXAP	HLA-DQA1
RFXAP	HLA-DQA2
RFXAP	HLA-DQB1
RFXAP	HLA-DRA
RFXAP	HLA-DRB1
RFXAP	HLA-DRB3
RFXAP	HLA-DRB4
RFXAP	HLA-DRB5
RFXAP	CD74
MAPK12	IL1A
MAPK12	IL1B
NFATC1	PTGS2
NFATC2	PTGS2
NFATC3	PTGS2
LEF1	JUN
LEF1	MMP7
LEF1	PPARD
TCF7L2	MMP7
TCF7L2	PPARD
TCF7L2	FOSL1
TCF7L1	JUN
TCF7L1	MMP7
TCF7L1	PPARD
FLI1	POLR2A
TFAP2A	ADRA1A
CREB1	ADRB2
CEBPB	AFP
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
USF2	B2M
TP53	BAK1
ATF1	BCL2
BRCA1	BCL2
CEBPA	BCL2
MYBL1	BCL2
TP53	BCL2
WT1	BCL2
HIF1A	BNIP3
ATF1	BRCA1
NFIC	C4BPB
TFAP2A	CALB2
ATF1	CALCA
CREB1	CALCA
USF1	CALCA
USF2	CALCA
NFKB1	CSF1
ETS1	CSF2
REL	CSF2
RELA	CSF2
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
CREB1	CYP11A1
STAT5A	EGFR
NFKB1	FN1
RELA	FN1
ESR1	FOS
ESR2	FOS
FLI1	FOS
STAT1	FOS
STAT3	FOS
ETS2	FOSL1
JUN	FOSL1
JUND	FOSL1
SP1	FOSL1
CREB1	GH2
NFIC	GH2
POU2F1	HIST2H2BE
FOS	HLA-DRA
NFKB1	HMOX1
SMAD7	HMOX1
SP1	HMOX1
STAT3	HMOX1
TFAP2A	HMOX1
ESR1	HSPB1
SP1	HSPB1
CEBPA	ICAM1
CEBPB	ICAM1
CREB1	ICAM1
CREM	ICAM1
REL	IFNG
STAT1	IFNG
SPI1	IL1B
JUND	IVL
ATF1	JUN
ATF2	JUN
CREB1	JUN
EGR1	JUN
ERG	JUN
HIF1A	MDK
BCL3	MYB
ESR1	MYC
SP1	PLAU
ATF1	PLAUR
SP2	PLP1
E2F4	POLA
JUN	POLA
MYB	POLA
TFAP2A	POLA
CREB1	POLD2
NFIC	POLD2
TFAP2A	POLD2
NFIC	POLE2
FLI1	POLR2G
ATF4	PPP1R15A
ATF1	PPP2R4
NFKB1	PPP2R4
CEBPA	PREB
POU2F2	SPP1
JUN	TFF1
ERG	TNNC1
JUN	TNNC1
SMAD3	TNNC1
SP3	TNPO1
MYC	TP53
ETS1	VWF
NFIC	VWF
