HNMT	MAOA
RFXAP	HLA-DRB4
NFAT5	PTGS2
LEF1	PPARD
TCF7	MMP7
TCF7	PPARD
EGR1	ABCB1
EGR2	ABCB1
ETS1	ABCB1
HIF1A	ABCB1
JUN	ABCB1
NFKB1	ABCB1
SP1	ABCB1
TP53	ABCB1
WT1	ABCB1
NFIC	AFP
SP1	AGT
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SPI1	B2M
USF1	B2M
SP3	CCND1
SP4	CCND1
TP53	CCND1
USF1	CCND1
ELK1	CCT8
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF1	CEACAM6
TFAP2A	COL1A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
TFAP2A	ERBB2
TP53	ERBB2
BRCA1	ESR1
PPARG	ESR1
STAT5A	ESR1
STAT5B	ESR1
JUN	F3
JUND	F3
USF1	FBP1
STAT3	FOS
ETS1	FOSL1
ETS2	FOSL1
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
USF1	HMOX1
USF2	HMOX1
ATF1	IL1B
CEBPB	IL1B
ETS1	IL5
ETS2	IL5
JUND	IL5
POU2F1	IL5
ATF2	JUN
SMAD3	JUN
SP1	KRT18
EGR1	LHB
NFKB1	LTA
HIF1A	MDK
ETV4	MMP2
SP1	MMP2
TFAP2A	MMP2
RELA	MMP3
SPI1	NFKB1
SP1	NFKB2
PPARA	NFKBIA
CEBPA	NFYB
TP53	NME1
MYC	NME2
FOS	NQO1
JUND	NQO1
RELA	NR4A1
MYC	NRAS
JUN	NRAS
MYB	NRAS
NFIC	PLAT
TFAP2A	POLD2
ESR1	PTMA
EGR1	PTP4A1
RARG	S100A9
SPI1	SCARB2
PPARD	SERPINE1
SP1	SERPINE1
ETS1	SLC26A3
CREB1	SLC9A1
TFAP2A	TAF7
EGR1	TFPI2
ATF1	TG
PAX8	TG
HOXA5	TH
TFAP2A	TH
ATF1	TNF
EGR4	TNF
ETS1	TNNC1
JUN	TNNC1
SP3	TNNC1
SP3	TNPO1
CREB1	TRH
JUN	TXN
PAX1	VHL
ERG	VIM
