CYSLTR1	GNAQ
MYBL2	RBL1
CREB1	REN
RELA	S100A6
RARG	S100A8
RARB	S100A9
ETS1	SLC26A3
SP1	SOD1
MYBL2	SP1
ETS1	SPP1
JUN	SPP1
SP1	SPP1
SP1	TAF7
HOXA5	TH
USF1	THBS1
CREB1	TIMP1
JUNB	TIMP1
SMAD4	TIMP1
TFAP2A	TIMP1
CEBPA	TK1
SP3	TNNC1
E2F4	TOP1
MYC	TP53
NFIC	TP53
PAX5	TP53
USF1	TP53
SP1	TPI1
ETS1	VWF
ETS2	VWF
NFIC	VWF
ATF6	XBP1
