TUBB1	ARHGEF2
NFKB1	IL12B
CEBPA	PER2
SPI1	ITGAM
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFKB1	IL18
NFYA	HLA-DQA1
NFYC	HLA-DMB
NFYC	HLA-DOA
NFYC	HLA-DQA2
MAPK1	IL1A
MAPK1	IL1B
MAPK1	IL12B
MAPK8	IL18
MAPK11	IL12B
MAPK11	IL18
MAPK11	NOS2
MAPK9	TNF
MAPK10	IL1A
MAPK10	IL1B
MAPK10	IL6
RFX5	HLA-DPA1
RFX5	HLA-DPB1
RFX5	HLA-DQA1
RFX5	HLA-DQA2
RFXAP	LOC100507714
RFXAP	HLA-DRB5
RFXAP	CD74
NFAT5	PTGS2
LEF1	PPARD
LEF1	FOSL1
TCF7	JUN
TCF7	MMP7
TCF7	PPARD
MYB	TSC22D3
MYBL1	TSC22D3
NFKB1	REL
POU2F1	REL
SP1	CDK1
SP1	CDKN1C
SP1	REL
USF1	SERPINE1
USF2	XRCC6
JUN	ABCA1
SP3	ABCA1
USF2	ABCA1
USF1	APOC3
USF2	APOC3
ESR1	APOE
PPARG	APOE
USF1	APOE
USF2	APOE
TFAP2A	CCNB1
USF1	CCNB1
USF2	CCNB1
SP1	CD9
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
E2F4	CDK1
ETS2	CDK1
ATF2	CDKN1A
CEBPA	CDKN1A
ESR1	CDKN1A
ETS1	CDKN1A
FLI1	CDKN1A
JUN	CDKN1A
JUNB	CDKN1A
JUND	CDKN1A
USF2	CEACAM5
USF2	CEACAM6
ATF1	CGA
ATF4	CGA
CREB1	CGA
NFIC	CGA
TFAP2A	CGA
TP53	CHEK1
SP3	CHI3L1
EGR1	COL2A1
SP1	COL2A1
SP3	COL2A1
NFIC	CSNK2A1
NFKB1	CSNK2A1
ETS1	CSNK2B
CEBPB	CSRP1
REL	CSRP1
USF1	CTSB
USF2	CTSB
SP1	CTSL
SP3	CTSL
NFIC	CYP11A1
NFKB1	CYP11A1
SP1	CYP11A1
ETS1	DNTT
SP1	EGFR
TFAP2A	EGFR
TP53	EGFR
TFAP2A	ERBB2
BRCA1	ESR1
BRCA2	ESR1
PPARG	ESR1
SP1	ESR1
STAT5A	ESR1
STAT5B	ESR1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUND	FOSL1
SP1	FOSL1
SMAD4	FSHB
BRCA1	GADD45A
CEBPA	GADD45A
ESR1	GADD45A
NFKB1	GADD45A
POU2F1	GADD45A
POU5F1	GADD45A
PPARA	GADD45A
PPARD	GADD45A
PPARG	GADD45A
RARA	GADD45A
E2F1	HIST1H2AM
POU2F2	IL4
ETS1	IL5
JUND	IL5
SPI1	IL5
CEBPB	IL6
EGR1	IL6
REL	IL6
CEBPB	IL8
ERG	MMP2
FLI1	MMP2
SPI1	MMP2
ERG	MMP3
ETS2	MMP3
FLI1	MMP3
FOS	MMP3
NFKB1	MMP3
PPARG	MMP9
BCL6	NFKB1
SPI1	NFKB1
MYC	NME1
TP53	NME1
JUN	NPPA
FOS	NQO1
HIF1A	NR4A1
RELA	NR4A1
CREB1	NRAS
JUN	NRAS
CREB1	ODC1
WT1	ODC1
NFIC	PCK2
TP53	PCNA
ELK1	PDGFB
SP1	PDGFB
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
CREB1	POLD2
TFAP2A	POLD2
NFIC	POLE2
ATF1	PPP2R4
ETS1	PPP2R4
ATF2	PTGS2
ATF4	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
USF1	PTPN6
USF2	PTPN6
MYBL2	RBL1
SP1	RELA
RARA	S100A8
RARG	S100A9
PPARA	SERPINE1
PPARD	SERPINE1
EGR1	SOD1
SP1	SOD1
MYBL2	SP1
USF2	SP1
POU2F1	SPP1
TFAP2A	TAF7
JUN	TFRC
ATF1	TG
EGR1	THBS1
USF1	THBS1
CREB1	TIMP1
FOS	TIMP1
STAT1	TIMP1
ATF1	TNF
ERG	TNNC1
ETS1	TNNC1
TFAP2A	TNPO1
E2F4	TOP1
MYC	TP53
HIF1A	TP53
STAT1	TP53
CREB1	TRH
HIF1A	VHL
PAX1	VHL
