DHODH	UMPS
RXRB	APOA1
RXRB	SLC27A1
RXRB	MMP1
RXRB	OLR1
RXRG	APOA5
RXRG	CPT1B
RXRG	EHHADH
RXRG	FABP4
RXRG	ACSL3
RXRG	ACSL4
RXRG	ACADM
RXRG	APOC3
RXRG	ANGPTL4
RXRG	PDPK1
IRF7	IFNA8
IRF7	IFNA10
IRF7	IFNA17
IRF7	IFNA21
JUN	TNF
JUN	CCL4L1
STAT1	CXCL11
CEBPA	PER2
CREB1	HLA-DRB5
MAPK14	IL6
MAPK14	NOS2
MYD88	IFNA2
NFYA	HLA-DQA1
NFYC	HLA-DOB
NFYC	HLA-DPA1
SP3	ABCA1
BCL6	ADH6
SP1	ADH6
CEBPA	ADH7
HIF1A	ADM
TFAP2A	ADM
CREB1	ADRB2
NFIC	AFP
EGR1	AKR1B1
NFKB1	AKR1B1
RARA	AKR1B1
RELA	AKR1B1
SP1	AKR1B1
POU2F1	AKR1C3
NFIC	ALAS1
CEBPA	ALB
CEBPB	ALB
SP1	ALB
SP1	ALDH3A1
TP53	CAV1
SP1	CCND1
SP2	CD14
SP1	CD9
SP1	CD99
MYC	CDC25A
E2F1	CDC25A
E2F4	CDC45
NFKB1	COL1A1
RELA	COL1A1
SP1	COL1A1
SP3	COL2A1
REL	CSF2
JUN	CYP11A1
ETS1	DNTT
TFAP2C	ESR1
CREB1	FN1
EGR1	FN1
NFKB1	FN1
RELA	FN1
ELK3	FOS
ESR1	FOS
ESR2	FOS
ETS2	FOS
JUN	FOSL1
TFAP2A	GH2
USF1	GH2
USF2	GH2
JUN	GJA1
SP1	GJA1
NFIC	GOT1
CREB1	IFNG
STAT4	IFNG
CEBPA	IGF2
FLI1	IGFBP3
CEBPB	IL1A
CREB1	IL1B
CREB1	IL2
ETS2	IL2
FLI1	MMP9
RARA	PLAU
ATF1	PLAUR
SP2	PLP1
JUN	POLA
CREB1	POLD2
NFIC	POLE2
ETS1	PPP2R4
ATF4	PTGS2
CREB1	PTGS2
REL	PTGS2
USF1	PTGS2
TP53	RELA
PPARA	SERPINE1
SP1	SPN
JUN	TFRC
JUN	TIMP1
ERG	TNNC1
JUN	TP53
HIF1A	VHL
